노출(분),상품군,판매단가,취급액,판매수량,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
20,5,0,9647000,139,2,2,-7,3.2,-2.5,0,24,104.24,6,65,0,0,2
20,4,0,9605000,323,2,2,-7,3.2,-2.5,0,24,104.24,36,109,0,0,2
20,4,0,11265000,379,2,2,-7,3.2,-2.5,0,24,104.24,38,109,0,0,2
20,4,0,14371000,483,2,2,-7,3.2,-2.5,0,24,104.24,40,109,0,0,2
20,5,0,11314000,192,2,2,-7,3.2,-2.5,0,24,104.24,48,65,0,0,2
20,5,0,34822000,591,2,2,-7,3.2,-2.5,0,24,104.24,52,65,0,0,2
20,6,0,12607000,316,2,2,-7,3.2,-2.5,0,24,104.24,54,84,0,0,2
20,6,0,23042000,578,2,2,-7,3.2,-2.5,0,24,104.24,56,84,0,0,2
20,9,1,7239000,46,2,1,-7,3.2,-2.5,0,24,104.24,60,4,0,0,2
20,9,1,2262000,15,2,0,-7,3.2,-2.5,0,24,104.24,60,4,0,0,2
20,9,1,27223000,173,2,1,-7,3.2,-2.5,0,24,104.24,62,4,0,0,2
20,9,1,4507000,29,2,0,-7,3.2,-2.5,0,24,104.24,62,4,0,0,2
20,9,1,44478000,282,2,1,-7,3.2,-2.5,0,24,104.24,64,4,0,0,2
30,6,2,29763000,100,2,2,-7,3.2,-2.5,0,24,104.24,66,67,0,0,2
30,6,2,66392000,223,2,2,-7,3.2,-2.5,0,24,104.24,69,67,0,0,2
20,9,1,2270000,10,2,1,-7,3.2,-2.5,0,24,104.24,72,12,0,0,2
20,9,1,1469000,7,2,0,-7,3.2,-2.5,0,24,104.24,72,12,0,0,2
20,9,1,2757000,14,2,1,-7,3.2,-2.5,0,24,104.24,72,12,0,0,2
20,9,1,17801000,75,2,0,-7,3.2,-2.5,0,24,104.24,74,12,0,0,2
20,9,1,10627000,49,2,0,-7,3.2,-2.5,0,24,104.24,74,12,0,0,2
20,9,1,4731000,23,2,1,-7,3.2,-2.5,0,24,104.24,74,12,0,0,2
20,9,1,21428000,94,2,1,-7,3.2,-2.5,0,24,104.24,76,12,0,0,2
20,9,1,6384000,30,2,0,-7,3.2,-2.5,0,24,104.24,76,12,0,0,2
20,9,1,4095000,20,2,1,-7,3.2,-2.5,0,24,104.24,76,12,0,0,2
20,3,0,41722000,1351,2,2,-7,3.2,-2.5,0,24,104.24,90,17,0,0,2
20,3,0,43167000,1397,2,2,-7,3.2,-2.5,0,24,104.24,92,17,0,0,2
20,3,0,70322000,2276,2,2,-7,3.2,-2.5,0,24,104.24,94,17,0,0,2
20,3,0,9744000,316,2,2,-7,3.2,-2.5,0,24,104.24,98,0,0,0,2
20,3,0,18931000,613,2,2,-7,3.2,-2.5,0,24,104.24,100,0,0,0,2
20,3,0,50056000,836,2,2,-7,3.2,-2.5,0,24,104.24,104,104,0,0,2
20,9,0,33817000,377,2,2,-7,3.2,-2.5,0,24,104.24,110,21,0,0,2
20,3,0,25985000,434,2,2,-7,3.2,-2.5,0,24,104.24,114,0,0,0,2
20,3,0,36647000,612,2,2,-7,3.2,-2.5,0,24,104.24,116,0,0,0,2
20,3,0,65853000,1100,2,2,-7,3.2,-2.5,0,24,104.24,118,0,0,0,2
20,5,0,18424000,208,2,2,-7,3.2,-2.5,0,24,104.24,120,6,0,0,2
20,5,0,1506000,17,2,2,-7,3.2,-2.5,0,24,104.24,120,53,0,0,2
20,5,0,41096000,462,2,2,-7,3.2,-2.5,0,24,104.24,122,6,0,0,2
20,5,0,2575000,29,2,2,-7,3.2,-2.5,0,24,104.24,122,51,0,0,2
20,5,0,3660000,42,2,2,-7,3.2,-2.5,0,24,104.24,122,53,0,0,2
20,5,0,52885000,595,2,2,-7,3.2,-2.5,0,24,104.24,124,6,0,0,2
20,5,0,3029000,35,2,2,-7,3.2,-2.5,0,24,104.24,124,51,0,0,2
20,1,4,11986000,8,2,0,-7,3.2,-2.5,0,24,104.24,126,9,0,0,2
20,1,4,25312000,18,2,1,-7,3.2,-2.5,0,24,104.24,128,9,0,0,2
20,1,4,11960000,8,2,0,-7,3.2,-2.5,0,24,104.24,128,9,0,0,2
20,1,4,0,0,2,0,-7,3.2,-2.5,0,24,104.24,132,1,0,0,2
20,1,5,13796000,8,2,1,-7,3.2,-2.5,0,24,104.24,132,1,0,0,2
20,1,6,0,0,2,1,-7,3.2,-2.5,0,24,104.24,132,1,0,0,2
20,1,6,0,0,2,0,-7,3.2,-2.5,0,24,104.24,132,1,0,0,2
20,1,4,3177000,3,2,1,-7,3.2,-2.5,0,24,104.24,134,1,0,0,2
20,1,4,3541000,3,2,0,-7,3.2,-2.5,0,24,104.24,134,1,0,0,2
20,1,5,5189000,3,2,0,-7,3.2,-2.5,0,24,104.24,134,1,0,0,2
20,1,6,0,0,2,0,-7,3.2,-2.5,0,24,104.24,134,1,0,0,2
20,1,4,6983000,5,2,0,-7,3.2,-2.5,0,24,104.24,136,1,0,0,2
20,1,6,0,0,1,1,-7,3.2,-2.5,0,24,104.24,136,1,0,0,2
20,1,6,14523000,5,0,0,-7,3.2,-2.5,0,24,104.24,136,1,0,0,2
20,5,0,29048000,364,1,2,-7,3.2,-2.5,0,24,104.24,138,65,0,0,2
20,5,0,31298000,392,2,2,-7,3.2,-2.5,0,24,104.24,142,65,0,0,2
20,6,0,7329000,184,2,2,-7.7,5,-2.1,0,25,104.24,0,36,0,0,3
20,6,0,12050000,303,2,2,-7.7,5,-2.1,0,25,104.24,0,36,0,0,3
20,6,0,10481000,263,2,2,-7.7,5,-2.1,0,25,104.24,2,36,0,0,3
20,6,0,22520000,565,2,2,-7.7,5,-2.1,0,25,104.24,2,36,0,0,3
20,5,0,17348000,295,2,2,-7.7,5,-2.1,0,25,104.24,8,70,0,0,3
20,5,0,24910000,423,2,2,-7.7,5,-2.1,0,25,104.24,10,70,0,0,3
20,8,0,2450000,62,2,2,-7.7,5,-2.1,0,25,104.24,36,0,0,0,3
20,8,0,5609000,141,2,2,-7.7,5,-2.1,0,25,104.24,38,0,0,0,3
20,3,0,20546000,515,2,2,-7.7,5,-2.1,0,25,104.24,42,0,0,0,3
20,3,0,26917000,675,2,2,-7.7,5,-2.1,0,25,104.24,44,0,0,0,3
20,7,0,36208000,459,2,2,-7.7,5,-2.1,0,25,104.24,52,0,0,0,3
30,5,0,32763000,301,2,2,-7.7,5,-2.1,0,25,104.24,60,0,0,0,3
30,5,0,70140000,644,2,2,-7.7,5,-2.1,0,25,104.24,63,0,0,0,3
20,2,0,18481000,268,2,2,-7.7,5,-2.1,0,25,104.24,72,77,0,0,3
20,2,0,24779000,360,2,2,-7.7,5,-2.1,0,25,104.24,74,77,0,0,3
20,2,0,45269000,657,2,2,-7.7,5,-2.1,0,25,104.24,76,77,0,0,3
20,7,0,41669000,1047,2,2,-7.7,5,-2.1,0,25,104.24,80,87,0,0,3
20,7,0,44782000,1126,2,2,-7.7,5,-2.1,0,25,104.24,82,87,0,0,3
20,9,0,22816000,208,2,2,-7.7,5,-2.1,0,25,104.24,84,14,0,0,3
20,9,0,49139000,448,2,2,-7.7,5,-2.1,0,25,104.24,88,14,0,0,3
20,9,1,13222000,61,2,0,-7.7,5,-2.1,0,25,104.24,90,59,0,0,3
20,9,1,4272000,22,2,1,-7.7,5,-2.1,0,25,104.24,90,59,0,0,3
20,9,1,31827000,146,2,0,-7.7,5,-2.1,0,25,104.24,92,59,0,0,3
20,9,1,5224000,26,2,0,-7.7,5,-2.1,0,25,104.24,92,59,0,0,3
20,9,1,6379000,33,2,1,-7.7,5,-2.1,0,25,104.24,92,59,0,0,3
20,9,1,16324000,75,2,0,-7.7,5,-2.1,0,25,104.24,94,59,0,0,3
20,9,1,25184000,122,2,1,-7.7,5,-2.1,0,25,104.24,94,59,0,0,3
20,9,1,6693000,33,2,0,-7.7,5,-2.1,0,25,104.24,94,59,0,0,3
20,3,0,59853000,1000,2,2,-7.7,5,-2.1,0,25,104.24,100,0,0,0,3
20,3,0,16350000,269,2,2,-7.7,5,-2.1,0,25,104.24,102,82,0,0,3
20,3,0,27284000,449,2,2,-7.7,5,-2.1,0,25,104.24,106,82,0,0,3
20,3,0,67200000,1644,2,2,-7.7,5,-2.1,0,25,104.24,112,0,0,0,3
20,5,0,11888000,134,2,2,-7.7,5,-2.1,0,25,104.24,114,6,0,0,3
20,5,0,1879000,22,2,2,-7.7,5,-2.1,0,25,104.24,114,51,0,0,3
20,5,0,3419000,39,2,2,-7.7,5,-2.1,0,25,104.24,114,19,0,0,3
20,5,0,19216000,216,2,2,-7.7,5,-2.1,0,25,104.24,116,6,0,0,3
20,5,0,7147000,81,2,2,-7.7,5,-2.1,0,25,104.24,116,51,0,0,3
20,5,0,2252000,26,2,2,-7.7,5,-2.1,0,25,104.24,116,19,0,0,3
20,5,0,4871000,55,2,2,-7.7,5,-2.1,0,25,104.24,118,51,0,0,3
20,5,0,4458000,51,2,2,-7.7,5,-2.1,0,25,104.24,118,19,0,0,3
20,4,1,41183000,218,2,2,-7.7,5,-2.1,0,25,104.24,120,23,0,0,3
20,4,1,83995000,445,2,2,-7.7,5,-2.1,0,25,104.24,122,23,0,0,3
20,4,1,107418000,569,2,2,-7.7,5,-2.1,0,25,104.24,124,23,0,0,3
20,1,4,6305000,5,2,1,-7.7,5,-2.1,0,25,104.24,126,1,0,0,3
20,1,5,20608000,10,2,0,-7.7,5,-2.1,0,25,104.24,126,1,0,0,3
20,1,6,6571000,3,2,1,-7.7,5,-2.1,0,25,104.24,126,1,0,0,3
20,1,6,7299000,3,2,0,-7.7,5,-2.1,0,25,104.24,126,1,0,0,3
20,1,4,9432000,8,2,1,-7.7,5,-2.1,0,25,104.24,128,1,0,0,3
20,1,5,9214000,5,2,1,-7.7,5,-2.1,0,25,104.24,128,1,0,0,3
20,1,5,0,0,2,0,-7.7,5,-2.1,0,25,104.24,128,1,0,0,3
20,1,4,9480000,8,1,1,-7.7,5,-2.1,0,25,104.24,130,1,0,0,3
20,5,0,42666000,475,2,2,-7.7,5,-2.1,0,25,104.24,136,65,0,0,3
20,6,0,18958000,272,2,2,-7.7,5,-2.1,0,25,104.24,142,0,0,0,3
20,6,2,11512000,24,2,2,-7.3,5.3,-0.7,0,38,104.24,0,67,0,0,4
20,4,0,9780000,329,2,2,-7.3,5.3,-0.7,0,38,104.24,6,109,0,0,4
20,4,0,20974000,704,2,2,-7.3,5.3,-0.7,0,38,104.24,10,109,0,0,4
20,2,0,10439000,140,2,2,-7.3,5.3,-0.7,0,38,104.24,36,0,0,0,4
20,2,0,17055000,228,2,2,-7.3,5.3,-0.7,0,38,104.24,38,0,0,0,4
20,4,0,10166000,205,2,2,-7.3,5.3,-0.7,0,38,104.24,42,74,0,0,4
20,4,0,31092000,625,2,2,-7.3,5.3,-0.7,0,38,104.24,44,74,0,0,4
20,4,0,36453000,732,2,2,-7.3,5.3,-0.7,0,38,104.24,46,74,0,0,4
20,5,0,6122000,69,2,2,-7.3,5.3,-0.7,0,38,104.24,48,0,0,0,4
20,5,0,22625000,252,2,2,-7.3,5.3,-0.7,0,38,104.24,50,0,0,0,4
20,5,0,34090000,380,2,2,-7.3,5.3,-0.7,0,38,104.24,52,0,0,0,4
20,9,1,5440000,23,2,0,-7.3,5.3,-0.7,0,38,104.24,54,12,0,0,4
20,9,1,14685000,62,2,0,-7.3,5.3,-0.7,0,38,104.24,56,12,0,0,4
20,9,1,8150000,36,2,1,-7.3,5.3,-0.7,0,38,104.24,56,12,0,0,4
20,9,1,4962000,23,2,0,-7.3,5.3,-0.7,0,38,104.24,56,12,0,0,4
20,9,1,1389000,7,2,1,-7.3,5.3,-0.7,0,38,104.24,56,12,0,0,4
20,9,1,23132000,98,2,0,-7.3,5.3,-0.7,0,38,104.24,58,12,0,0,4
20,9,1,16967000,75,2,1,-7.3,5.3,-0.7,0,38,104.24,58,12,0,0,4
20,9,1,8491000,39,2,0,-7.3,5.3,-0.7,0,38,104.24,58,12,0,0,4
20,9,1,2742000,14,2,1,-7.3,5.3,-0.7,0,38,104.24,58,12,0,0,4
20,9,1,7445000,36,2,1,-7.3,5.3,-0.7,0,38,104.24,60,59,0,0,4
20,9,1,2161000,11,2,1,-7.3,5.3,-0.7,0,38,104.24,60,59,0,0,4
20,9,1,17861000,82,2,0,-7.3,5.3,-0.7,0,38,104.24,62,59,0,0,4
20,9,1,0,0,2,0,-7.3,5.3,-0.7,0,38,104.24,62,59,0,0,4
20,9,1,4978000,26,2,1,-7.3,5.3,-0.7,0,38,104.24,62,59,0,0,4
20,9,1,34904000,161,2,0,-7.3,5.3,-0.7,0,38,104.24,64,59,0,0,4
20,9,1,29606000,143,2,1,-7.3,5.3,-0.7,0,38,104.24,64,59,0,0,4
30,5,0,28056000,258,2,2,-7.3,5.3,-0.7,0,38,104.24,66,0,0,0,4
30,5,0,56953000,523,2,2,-7.3,5.3,-0.7,0,38,104.24,69,0,0,0,4
20,3,0,44792000,1450,2,2,-7.3,5.3,-0.7,0,38,104.24,74,17,0,0,4
20,3,0,50049000,1620,2,2,-7.3,5.3,-0.7,0,38,104.24,76,17,0,0,4
20,9,0,17529000,160,2,2,-7.3,5.3,-0.7,0,38,104.24,78,14,0,0,4
20,9,0,31775000,290,2,2,-7.3,5.3,-0.7,0,38,104.24,80,14,0,0,4
20,5,0,17925000,304,2,2,-7.3,5.3,-0.7,0,38,104.24,84,65,0,0,4
20,5,0,37992000,644,2,2,-7.3,5.3,-0.7,0,38,104.24,88,65,0,0,4
20,3,0,28581000,562,2,2,-7.3,5.3,-0.7,0,38,104.24,90,82,0,0,4
20,3,0,32544000,640,2,2,-7.3,5.3,-0.7,0,38,104.24,92,82,0,0,4
20,3,0,61774000,1214,2,2,-7.3,5.3,-0.7,0,38,104.24,94,82,0,0,4
20,3,0,26530000,807,2,2,-7.3,5.3,-0.7,0,38,104.24,96,0,0,0,4
20,9,0,37694000,420,2,2,-7.3,5.3,-0.7,0,38,104.24,104,21,0,0,4
20,9,0,53381000,595,2,2,-7.3,5.3,-0.7,0,38,104.24,106,21,0,0,4
20,3,0,30754000,514,2,2,-7.3,5.3,-0.7,0,38,104.24,108,0,0,0,4
20,3,0,43797000,732,2,2,-7.3,5.3,-0.7,0,38,104.24,110,0,0,0,4
20,3,0,66441000,1110,2,2,-7.3,5.3,-0.7,0,38,104.24,112,0,0,0,4
20,1,2,19875000,46,2,1,-7.3,5.3,-0.7,0,38,104.24,114,10,0,0,4
20,1,2,14280000,30,0,0,-7.3,5.3,-0.7,0,38,104.24,114,10,0,0,4
20,1,2,45431000,104,1,1,-7.3,5.3,-0.7,0,38,104.24,118,10,0,0,4
20,1,2,26996000,56,0,0,-7.3,5.3,-0.7,0,38,104.24,118,10,0,0,4
20,7,0,48838000,1228,2,2,-7.3,5.3,-0.7,0,38,104.24,122,87,0,0,4
20,5,0,23204000,291,2,2,-7.3,5.3,-0.7,0,38,104.24,126,65,0,0,4
20,6,0,7669000,110,2,2,-7.3,5.3,-0.7,0,38,104.24,132,0,0,0,4
20,6,0,14591000,209,2,2,-7.3,5.3,-0.7,0,38,104.24,134,0,0,0,4
20,6,0,13394000,192,2,2,-7.3,5.3,-0.7,0,38,104.24,134,0,0,0,4
20,6,0,25232000,361,2,2,-7.3,5.3,-0.7,0,38,104.24,136,0,0,0,4
30,6,2,61787000,207,2,2,-7.3,5.3,-0.7,0,38,104.24,141,67,0,0,4
20,7,0,24142000,484,0,2,-4.6,5.3,0.2,0,47,104.24,2,0,0,1,5
20,7,0,23462000,471,1,2,-4.6,5.3,0.2,0,47,104.24,4,0,0,1,5
20,8,1,15067000,117,0,1,-4.6,5.3,0.2,0,47,104.24,6,0,0,1,5
20,8,1,30116000,234,0,1,-4.6,5.3,0.2,0,47,104.24,8,0,0,1,5
20,8,1,20633000,160,2,1,-4.6,5.3,0.2,0,47,104.24,10,0,0,1,5
20,8,1,8495000,62,2,0,-4.6,5.3,0.2,0,47,104.24,10,0,0,1,5
20,7,0,4976000,98,2,2,-4.6,5.3,0.2,0,47,104.24,36,0,0,1,5
20,7,0,11784000,232,2,2,-4.6,5.3,0.2,0,47,104.24,38,0,0,1,5
20,7,0,18348000,361,2,2,-4.6,5.3,0.2,0,47,104.24,40,0,0,1,5
20,6,0,3811000,49,2,2,-4.6,5.3,0.2,0,47,104.24,42,0,0,1,5
20,6,0,8326000,106,0,2,-4.6,5.3,0.2,0,47,104.24,44,0,0,1,5
20,6,0,15884000,202,0,2,-4.6,5.3,0.2,0,47,104.24,46,0,0,1,5
20,6,0,7072000,90,0,2,-4.6,5.3,0.2,0,47,104.24,46,0,0,1,5
20,6,0,16654000,418,2,2,-4.6,5.3,0.2,0,47,104.24,48,84,0,1,5
30,5,0,43243000,733,2,2,-4.6,5.3,0.2,0,47,104.24,54,65,0,1,5
30,5,0,88503000,1501,2,2,-4.6,5.3,0.2,0,47,104.24,57,65,0,1,5
20,6,0,27738000,352,2,2,-4.6,5.3,0.2,0,47,104.24,62,0,0,1,5
20,6,0,35456000,449,2,2,-4.6,5.3,0.2,0,47,104.24,64,0,0,1,5
20,6,0,27914000,467,2,2,-4.6,5.3,0.2,0,47,104.24,66,110,0,1,5
20,9,0,51906000,579,2,2,-4.6,5.3,0.2,0,47,104.24,74,21,0,1,5
20,9,0,77219000,860,2,2,-4.6,5.3,0.2,0,47,104.24,76,21,0,1,5
20,9,0,37162000,611,2,2,-4.6,5.3,0.2,0,47,104.24,78,24,0,1,5
20,9,0,66955000,1100,2,2,-4.6,5.3,0.2,0,47,104.24,80,24,0,1,5
20,1,2,27022000,62,2,1,-4.6,5.3,0.2,0,47,104.24,88,10,0,1,5
20,1,2,43038000,89,2,0,-4.6,5.3,0.2,0,47,104.24,88,10,0,1,5
30,5,0,32810000,302,2,2,-4.6,5.3,0.2,0,47,104.24,90,0,0,1,5
30,5,0,61352000,563,2,2,-4.6,5.3,0.2,0,47,104.24,93,0,0,1,5
20,3,0,44297000,727,2,2,-4.6,5.3,0.2,0,47,104.24,96,76,0,1,5
20,3,0,65082000,1067,2,2,-4.6,5.3,0.2,0,47,104.24,98,76,0,1,5
20,3,0,26816000,448,2,2,-4.6,5.3,0.2,0,47,104.24,110,104,0,1,5
20,9,1,7220000,46,2,1,-4.6,5.3,0.2,0,47,104.24,114,4,0,1,5
20,9,1,4779000,29,2,0,-4.6,5.3,0.2,0,47,104.24,114,4,0,1,5
20,9,1,0,0,2,0,-4.6,5.3,0.2,0,47,104.24,114,4,0,1,5
20,9,1,28368000,180,2,1,-4.6,5.3,0.2,0,47,104.24,116,4,0,1,5
20,9,1,14252000,85,2,0,-4.6,5.3,0.2,0,47,104.24,116,4,0,1,5
20,9,1,8884000,61,2,1,-4.6,5.3,0.2,0,47,104.24,116,4,0,1,5
20,5,0,9256000,104,2,2,-4.6,5.3,0.2,0,47,104.24,120,6,0,1,5
20,5,0,2289000,26,2,2,-4.6,5.3,0.2,0,47,104.24,120,51,0,1,5
20,5,0,22946000,258,2,2,-4.6,5.3,0.2,0,47,104.24,122,6,0,1,5
20,5,0,4875000,55,2,2,-4.6,5.3,0.2,0,47,104.24,122,51,0,1,5
20,5,0,2289000,26,2,2,-4.6,5.3,0.2,0,47,104.24,122,19,0,1,5
20,5,0,4787000,54,2,2,-4.6,5.3,0.2,0,47,104.24,124,51,0,1,5
20,1,4,0,0,2,0,-4.6,5.3,0.2,0,47,104.24,126,1,0,1,5
20,1,5,15493000,8,2,0,-4.6,5.3,0.2,0,47,104.24,126,1,0,1,5
20,1,6,0,0,2,1,-4.6,5.3,0.2,0,47,104.24,126,1,0,1,5
20,1,6,0,0,2,0,-4.6,5.3,0.2,0,47,104.24,126,1,0,1,5
20,1,4,3177000,3,0,1,-4.6,5.3,0.2,0,47,104.24,128,1,0,1,5
20,1,4,13965000,10,1,0,-4.6,5.3,0.2,0,47,104.24,128,1,0,1,5
20,1,5,27541000,15,0,1,-4.6,5.3,0.2,0,47,104.24,128,1,0,1,5
20,1,5,25747000,13,1,0,-4.6,5.3,0.2,0,47,104.24,128,1,0,1,5
20,1,6,6596000,3,0,1,-4.6,5.3,0.2,0,47,104.24,128,1,0,1,5
20,1,6,7299000,3,1,0,-4.6,5.3,0.2,0,47,104.24,128,1,0,1,5
20,1,4,21941000,17,2,1,-4.6,5.3,0.2,0,47,104.24,130,1,0,1,5
20,1,5,45869000,25,2,1,-4.6,5.3,0.2,0,47,104.24,130,1,0,1,5
20,1,6,13093000,5,2,1,-4.6,5.3,0.2,0,47,104.24,130,1,0,1,5
20,1,6,14523000,5,2,0,-4.6,5.3,0.2,0,47,104.24,130,1,0,1,5
20,5,0,23084000,194,2,2,-4.6,5.3,0.2,0,47,104.24,132,85,0,1,5
20,5,0,62830000,528,2,2,-4.6,5.3,0.2,0,47,104.24,134,85,0,1,5
20,5,0,85094000,716,2,2,-4.6,5.3,0.2,0,47,104.24,136,85,0,1,5
20,6,0,23644000,343,2,2,-4.6,5.3,0.2,0,47,104.24,138,46,0,1,5
20,6,0,5991000,87,2,2,-4.6,5.3,0.2,0,47,104.24,138,46,0,1,5
20,6,0,25823000,375,2,2,-4.6,5.3,0.2,0,47,104.24,140,46,0,1,5
20,6,0,20692000,300,2,2,-4.6,5.3,0.2,0,47,104.24,142,46,0,1,5
20,6,0,8373000,122,2,2,-4.6,5.3,0.2,0,47,104.24,142,46,0,1,5
20,7,0,51966000,1306,2,2,-6.1,5.7,-1.3,0,31,104.24,4,87,0,1,6
20,3,0,16233000,370,2,2,-6.1,5.7,-1.3,0,31,104.24,10,0,0,1,6
20,2,0,19508000,220,2,2,-6.1,5.7,-1.3,0,31,104.24,40,0,0,1,6
20,7,0,32977000,827,2,2,-6.1,5.7,-1.3,0,31,104.24,46,0,0,1,6
20,5,0,22215000,248,2,2,-6.1,5.7,-1.3,0,31,104.24,48,65,0,1,6
20,5,0,69617000,775,2,2,-6.1,5.7,-1.3,0,31,104.24,52,65,0,1,6
20,6,0,31153000,395,2,2,-6.1,5.7,-1.3,0,31,104.24,56,0,0,1,6
20,5,0,17266000,293,2,2,-6.1,5.7,-1.3,0,31,104.24,60,65,0,1,6
20,5,0,65610000,1113,0,2,-6.1,5.7,-1.3,0,31,104.24,64,65,0,1,6
30,6,2,38436000,129,0,2,-6.1,5.7,-1.3,0,31,104.24,66,67,0,1,6
30,6,2,74315000,249,0,2,-6.1,5.7,-1.3,0,31,104.24,69,67,0,1,6
20,9,1,11732000,75,2,1,-6.1,5.7,-1.3,0,31,104.24,72,4,0,1,6
20,9,1,39953000,253,2,1,-6.1,5.7,-1.3,0,31,104.24,76,4,0,1,6
20,9,1,15576000,106,2,1,-6.1,5.7,-1.3,0,31,104.24,76,4,0,1,6
20,9,1,6755000,43,2,0,-6.1,5.7,-1.3,0,31,104.24,76,4,0,1,6
20,6,0,23015000,577,2,2,-6.1,5.7,-1.3,0,31,104.24,78,46,0,1,6
20,6,0,41880000,1050,2,2,-6.1,5.7,-1.3,0,31,104.24,80,46,0,1,6
20,6,0,62565000,1569,2,2,-6.1,5.7,-1.3,0,31,104.24,82,46,0,1,6
20,7,0,38661000,972,2,2,-6.1,5.7,-1.3,0,31,104.24,84,87,0,1,6
20,7,0,70925000,1783,2,2,-6.1,5.7,-1.3,0,31,104.24,88,87,0,1,6
30,5,0,93153000,1579,2,2,-6.1,5.7,-1.3,0,31,104.24,93,65,0,1,6
20,3,0,36929000,726,2,2,-6.1,5.7,-1.3,0,31,104.24,96,82,0,1,6
20,3,0,85450000,1713,2,2,-6.1,5.7,-1.3,0,31,104.24,104,98,0,1,6
20,3,0,82757000,1659,2,2,-6.1,5.7,-1.3,0,31,104.24,106,98,0,1,6
20,5,0,1540000,18,2,2,-6.1,5.7,-1.3,0,31,104.24,108,51,0,1,6
20,5,0,35502000,399,2,2,-6.1,5.7,-1.3,0,31,104.24,112,6,0,1,6
20,5,0,7791000,88,2,2,-6.1,5.7,-1.3,0,31,104.24,112,51,0,1,6
20,5,0,4528000,51,2,2,-6.1,5.7,-1.3,0,31,104.24,112,19,0,1,6
20,4,1,60796000,322,2,2,-6.1,5.7,-1.3,0,31,104.24,116,23,0,1,6
20,9,1,17101000,79,2,0,-6.1,5.7,-1.3,0,31,104.24,120,59,0,1,6
20,9,1,4479000,22,2,0,-6.1,5.7,-1.3,0,31,104.24,120,59,0,1,6
