,노출(분),상품군,판매단가,취급액,판매수량,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
184,20,8,0,19488000,500,2,2,-7.7,5,-2.1,0,25,104.24,56,0,0,0,3
185,20,8,0,36253000,930,2,2,-7.7,5,-2.1,0,25,104.24,58,0,0,0,3
188,20,6,0,16785000,213,2,2,-7.7,5,-2.1,0,25,104.24,66,0,0,0,3
189,20,6,0,32391000,411,2,2,-7.7,5,-2.1,0,25,104.24,68,0,0,0,3
190,20,6,0,35613000,451,2,2,-7.7,5,-2.1,0,25,104.24,70,0,0,0,3
194,20,7,0,30273000,761,2,2,-7.7,5,-2.1,0,25,104.24,78,87,0,0,3
198,20,9,0,47947000,437,2,2,-7.7,5,-2.1,0,25,104.24,86,14,0,0,3
201,20,9,1,9656000,47,2,1,-7.7,5,-2.1,0,25,104.24,90,59,0,0,3
202,20,9,1,1530000,8,2,0,-7.7,5,-2.1,0,25,104.24,90,59,0,0,3
205,20,9,1,24436000,118,2,1,-7.7,5,-2.1,0,25,104.24,92,59,0,0,3
211,20,9,1,3576000,19,2,1,-7.7,5,-2.1,0,25,104.24,94,59,0,0,3
212,20,3,0,26611000,445,2,2,-7.7,5,-2.1,0,25,104.24,96,0,0,0,3
213,20,3,0,47757000,798,2,2,-7.7,5,-2.1,0,25,104.24,98,0,0,0,3
216,20,3,0,33015000,543,2,2,-7.7,5,-2.1,0,25,104.24,104,82,0,0,3
218,20,3,0,29976000,733,2,2,-7.7,5,-2.1,0,25,104.24,108,0,0,0,3
219,20,3,0,51728000,1265,2,2,-7.7,5,-2.1,0,25,104.24,110,0,0,0,3
227,20,5,0,40329000,454,2,2,-7.7,5,-2.1,0,25,104.24,118,6,0,0,3
234,20,1,4,3517000,3,2,0,-7.7,5,-2.1,0,25,104.24,126,1,0,0,3
235,20,1,5,0,0,2,1,-7.7,5,-2.1,0,25,104.24,126,1,0,0,3
240,20,1,4,10450000,8,2,0,-7.7,5,-2.1,0,25,104.24,128,1,0,0,3
243,20,1,6,6596000,3,2,1,-7.7,5,-2.1,0,25,104.24,128,1,0,0,3
244,20,1,6,0,0,0,0,-7.7,5,-2.1,0,25,104.24,128,1,0,0,3
246,20,1,4,17456000,13,0,0,-7.7,5,-2.1,0,25,104.24,130,1,0,0,3
247,20,1,5,36705000,20,1,1,-7.7,5,-2.1,0,25,104.24,130,1,0,0,3
248,20,1,5,25772000,13,0,0,-7.7,5,-2.1,0,25,104.24,130,1,0,0,3
249,20,1,6,6571000,3,1,1,-7.7,5,-2.1,0,25,104.24,130,1,0,0,3
250,20,1,6,0,0,2,0,-7.7,5,-2.1,0,25,104.24,130,1,0,0,3
251,20,5,0,18030000,201,2,2,-7.7,5,-2.1,0,25,104.24,132,65,0,0,3
252,20,5,0,26566000,296,2,2,-7.7,5,-2.1,0,25,104.24,134,65,0,0,3
254,20,6,0,6925000,100,2,2,-7.7,5,-2.1,0,25,104.24,138,0,0,0,3
255,20,6,0,15039000,216,2,2,-7.7,5,-2.1,0,25,104.24,138,0,0,0,3
256,20,6,0,13850000,199,2,2,-7.7,5,-2.1,0,25,104.24,140,0,0,0,3
257,20,6,0,12274000,176,2,2,-7.7,5,-2.1,0,25,104.24,140,0,0,0,3
259,20,6,0,12616000,181,2,2,-7.7,5,-2.1,0,25,104.24,142,0,0,0,3
261,20,6,2,19019000,39,2,2,-7.3,5.3,-0.7,0,38,104.24,2,67,0,0,4
262,20,6,2,26852000,54,2,2,-7.3,5.3,-0.7,0,38,104.24,4,67,0,0,4
264,20,4,0,18124000,609,2,2,-7.3,5.3,-0.7,0,38,104.24,8,109,0,0,4
268,20,2,0,43680000,584,2,2,-7.3,5.3,-0.7,0,38,104.24,40,0,0,0,4
276,20,9,1,2285000,11,2,1,-7.3,5.3,-0.7,0,38,104.24,54,12,0,0,4
277,20,9,1,1469000,7,2,0,-7.3,5.3,-0.7,0,38,104.24,54,12,0,0,4
278,20,9,1,1403000,7,2,1,-7.3,5.3,-0.7,0,38,104.24,54,12,0,0,4
287,20,9,1,6251000,29,2,0,-7.3,5.3,-0.7,0,38,104.24,60,59,0,0,4
289,20,9,1,3010000,15,2,0,-7.3,5.3,-0.7,0,38,104.24,60,59,0,0,4
292,20,9,1,12608000,61,2,1,-7.3,5.3,-0.7,0,38,104.24,62,59,0,0,4
297,20,9,1,8176000,40,2,0,-7.3,5.3,-0.7,0,38,104.24,64,59,0,0,4
298,20,9,1,7798000,40,2,1,-7.3,5.3,-0.7,0,38,104.24,64,59,0,0,4
301,20,3,0,30671000,993,2,2,-7.3,5.3,-0.7,0,38,104.24,72,17,0,0,4
306,20,9,0,42918000,391,2,2,-7.3,5.3,-0.7,0,38,104.24,82,14,0,0,4
308,20,5,0,31346000,532,2,2,-7.3,5.3,-0.7,0,38,104.24,86,65,0,0,4
314,20,3,0,40568000,1234,2,2,-7.3,5.3,-0.7,0,38,104.24,98,0,0,0,4
315,20,3,0,48311000,1469,2,2,-7.3,5.3,-0.7,0,38,104.24,100,0,0,0,4
316,20,9,0,19960000,223,2,2,-7.3,5.3,-0.7,0,38,104.24,102,21,0,0,4
324,20,1,2,21358000,49,1,1,-7.3,5.3,-0.7,0,38,104.24,116,10,0,0,4
325,20,1,2,41292000,85,0,0,-7.3,5.3,-0.7,0,38,104.24,116,10,0,0,4
328,20,7,0,33392000,839,1,2,-7.3,5.3,-0.7,0,38,104.24,120,87,0,0,4
330,20,7,0,79187000,1990,2,2,-7.3,5.3,-0.7,0,38,104.24,124,87,0,0,4
332,20,5,0,40601000,509,2,2,-7.3,5.3,-0.7,0,38,104.24,128,65,0,0,4
333,20,5,0,48812000,611,2,2,-7.3,5.3,-0.7,0,38,104.24,130,65,0,0,4
334,20,6,0,8949000,129,2,2,-7.3,5.3,-0.7,0,38,104.24,132,0,0,0,4
338,20,6,0,32311000,463,2,2,-7.3,5.3,-0.7,0,38,104.24,136,0,0,0,4
340,30,6,2,17958000,61,2,2,-7.3,5.3,-0.7,0,38,104.24,138,67,0,0,4
342,20,7,0,10874000,218,2,2,-4.6,5.3,0.2,0,47,104.24,0,0,0,1,5
346,20,8,1,6857000,50,1,0,-4.6,5.3,0.2,0,47,104.24,6,0,0,1,5
348,20,8,1,15561000,112,1,0,-4.6,5.3,0.2,0,47,104.24,8,0,0,1,5
354,20,6,0,3430000,44,2,2,-4.6,5.3,0.2,0,47,104.24,42,0,0,1,5
356,20,6,0,10904000,139,2,2,-4.6,5.3,0.2,0,47,104.24,44,0,0,1,5
361,20,6,0,37555000,942,2,2,-4.6,5.3,0.2,0,47,104.24,50,84,0,1,5
362,20,6,0,64124000,1608,2,2,-4.6,5.3,0.2,0,47,104.24,52,84,0,1,5
365,20,6,0,18277000,232,2,2,-4.6,5.3,0.2,0,47,104.24,60,0,0,1,5
369,20,6,0,46347000,774,2,2,-4.6,5.3,0.2,0,47,104.24,68,110,0,1,5
370,20,6,0,79540000,1328,2,2,-4.6,5.3,0.2,0,47,104.24,70,110,0,1,5
371,20,9,0,25992000,290,2,2,-4.6,5.3,0.2,0,47,104.24,72,21,0,1,5
376,20,9,0,69434000,1141,2,2,-4.6,5.3,0.2,0,47,104.24,82,24,0,1,5
377,20,1,2,18459000,43,2,1,-4.6,5.3,0.2,0,47,104.24,84,10,0,1,5
378,20,1,2,7956000,17,2,0,-4.6,5.3,0.2,0,47,104.24,84,10,0,1,5
379,20,1,2,22774000,52,2,1,-4.6,5.3,0.2,0,47,104.24,86,10,0,1,5
380,20,1,2,25547000,53,2,0,-4.6,5.3,0.2,0,47,104.24,86,10,0,1,5
387,20,3,0,69522000,1140,2,2,-4.6,5.3,0.2,0,47,104.24,100,76,0,1,5
388,20,3,0,52050000,1305,2,2,-4.6,5.3,0.2,0,47,104.24,102,93,0,1,5
389,20,3,0,77249000,1937,2,2,-4.6,5.3,0.2,0,47,104.24,104,93,0,1,5
390,20,3,0,104552000,2621,2,2,-4.6,5.3,0.2,0,47,104.24,106,93,0,1,5
392,20,3,0,50176000,838,2,2,-4.6,5.3,0.2,0,47,104.24,112,104,0,1,5
395,20,9,1,3701000,26,2,1,-4.6,5.3,0.2,0,47,104.24,114,4,0,1,5
400,20,9,1,5044000,32,2,0,-4.6,5.3,0.2,0,47,104.24,116,4,0,1,5
401,20,9,1,52106000,330,2,1,-4.6,5.3,0.2,0,47,104.24,118,4,0,1,5
402,20,9,1,29613000,177,2,0,-4.6,5.3,0.2,0,47,104.24,118,4,0,1,5
403,20,9,1,18808000,128,2,1,-4.6,5.3,0.2,0,47,104.24,118,4,0,1,5
404,20,9,1,8382000,54,2,0,-4.6,5.3,0.2,0,47,104.24,118,4,0,1,5
407,20,5,0,393000,5,2,2,-4.6,5.3,0.2,0,47,104.24,120,19,0,1,5
411,20,5,0,38690000,435,2,2,-4.6,5.3,0.2,0,47,104.24,124,6,0,1,5
413,20,5,0,4486000,51,2,2,-4.6,5.3,0.2,0,47,104.24,124,19,0,1,5
414,20,1,4,3177000,3,2,1,-4.6,5.3,0.2,0,47,104.24,126,1,0,1,5
416,20,1,5,4632000,3,2,1,-4.6,5.3,0.2,0,47,104.24,126,1,0,1,5
427,20,1,4,20923000,15,2,0,-4.6,5.3,0.2,0,47,104.24,130,1,0,1,5
429,20,1,5,46402000,22,2,0,-4.6,5.3,0.2,0,47,104.24,130,1,0,1,5
438,20,6,0,8850000,129,2,2,-4.6,5.3,0.2,0,47,104.24,140,46,0,1,5
441,20,7,0,27915000,702,2,2,-6.1,5.7,-1.3,0,31,104.24,0,87,0,1,6
442,20,7,0,52852000,1328,2,2,-6.1,5.7,-1.3,0,31,104.24,2,87,0,1,6
444,20,3,0,13333000,304,2,2,-6.1,5.7,-1.3,0,31,104.24,6,0,0,1,6
445,20,3,0,25910000,591,2,2,-6.1,5.7,-1.3,0,31,104.24,8,0,0,1,6
447,20,2,0,7549000,85,2,2,-6.1,5.7,-1.3,0,31,104.24,36,0,0,1,6
448,20,2,0,16711000,188,2,2,-6.1,5.7,-1.3,0,31,104.24,38,0,0,1,6
450,20,7,0,10997000,276,2,2,-6.1,5.7,-1.3,0,31,104.24,42,0,0,1,6
451,20,7,0,25060000,629,2,2,-6.1,5.7,-1.3,0,31,104.24,44,0,0,1,6
454,20,5,0,36731000,409,2,2,-6.1,5.7,-1.3,0,31,104.24,50,65,0,1,6
456,20,6,0,13717000,174,2,2,-6.1,5.7,-1.3,0,31,104.24,54,0,0,1,6
458,20,6,0,28257000,358,2,2,-6.1,5.7,-1.3,0,31,104.24,58,0,0,1,6
460,20,5,0,24628000,418,2,2,-6.1,5.7,-1.3,0,31,104.24,62,65,0,1,6
465,20,9,1,5973000,36,2,0,-6.1,5.7,-1.3,0,31,104.24,72,4,0,1,6
466,20,9,1,4719000,32,2,1,-6.1,5.7,-1.3,0,31,104.24,72,4,0,1,6
467,20,9,1,2815000,18,2,0,-6.1,5.7,-1.3,0,31,104.24,72,4,0,1,6
468,20,9,1,26064000,165,2,1,-6.1,5.7,-1.3,0,31,104.24,74,4,0,1,6
469,20,9,1,8902000,53,2,0,-6.1,5.7,-1.3,0,31,104.24,74,4,0,1,6
470,20,9,1,9372000,64,2,1,-6.1,5.7,-1.3,0,31,104.24,74,4,0,1,6
471,20,9,1,4490000,29,2,0,-6.1,5.7,-1.3,0,31,104.24,74,4,0,1,6
473,20,9,1,20640000,123,2,0,-6.1,5.7,-1.3,0,31,104.24,76,4,0,1,6
480,20,7,0,54670000,1374,2,2,-6.1,5.7,-1.3,0,31,104.24,86,87,0,1,6
482,30,5,0,46848000,795,2,2,-6.1,5.7,-1.3,0,31,104.24,90,65,0,1,6
485,20,3,0,65892000,1295,2,2,-6.1,5.7,-1.3,0,31,104.24,98,82,0,1,6
486,20,3,0,87413000,1718,2,2,-6.1,5.7,-1.3,0,31,104.24,100,82,0,1,6
487,20,3,0,58766000,1178,2,2,-6.1,5.7,-1.3,0,31,104.24,102,98,0,1,6
490,20,5,0,16242000,183,2,2,-6.1,5.7,-1.3,0,31,104.24,108,6,0,1,6
492,20,5,0,799000,9,2,2,-6.1,5.7,-1.3,0,31,104.24,108,19,0,1,6
493,20,5,0,32879000,370,2,2,-6.1,5.7,-1.3,0,31,104.24,110,6,0,1,6
494,20,5,0,5176000,59,2,2,-6.1,5.7,-1.3,0,31,104.24,110,51,0,1,6
495,20,5,0,4833000,55,2,2,-6.1,5.7,-1.3,0,31,104.24,110,19,0,1,6
499,20,4,1,26320000,140,2,2,-6.1,5.7,-1.3,0,31,104.24,114,23,0,1,6
501,20,4,1,112361000,595,2,2,-6.1,5.7,-1.3,0,31,104.24,118,23,0,1,6
503,20,9,1,8183000,40,2,1,-6.1,5.7,-1.3,0,31,104.24,120,59,0,1,6
511,20,9,1,31827000,154,2,1,-6.1,5.7,-1.3,0,31,104.24,124,59,0,1,6
512,20,9,1,10401000,51,2,0,-6.1,5.7,-1.3,0,31,104.24,124,59,0,1,6
514,20,1,2,12795000,30,1,1,-6.1,5.7,-1.3,0,31,104.24,126,10,0,1,6
515,20,1,2,12798000,27,0,0,-6.1,5.7,-1.3,0,31,104.24,126,10,0,1,6
516,20,1,2,48264000,110,1,1,-6.1,5.7,-1.3,0,31,104.24,128,10,0,1,6
517,20,1,2,20638000,43,0,0,-6.1,5.7,-1.3,0,31,104.24,128,10,0,1,6
520,20,5,0,12095000,152,2,2,-6.1,5.7,-1.3,0,31,104.24,132,65,0,1,6
531,20,6,0,4593000,94,2,2,-6.3,5.5,-0.5,0,39,104.24,8,0,0,0,0
536,20,5,0,10578000,272,2,2,-6.3,5.5,-0.5,0,39,104.24,40,0,0,0,0
537,20,7,0,13434000,171,2,2,-6.3,5.5,-0.5,0,39,104.24,42,0,0,0,0
539,20,7,0,23478000,298,2,2,-6.3,5.5,-0.5,0,39,104.24,46,0,0,0,0
542,20,6,0,20813000,264,2,2,-6.3,5.5,-0.5,0,39,104.24,52,0,0,0,0
543,20,7,0,17000000,428,2,2,-6.3,5.5,-0.5,0,39,104.24,54,87,0,0,0
545,20,7,0,44086000,1108,2,2,-6.3,5.5,-0.5,0,39,104.24,58,87,0,0,0
547,30,5,0,39476000,363,2,2,-6.3,5.5,-0.5,0,39,104.24,63,0,0,0,0
548,20,9,1,6961000,30,2,0,-6.3,5.5,-0.5,0,39,104.24,66,12,0,0,0
549,20,9,1,3725000,17,2,1,-6.3,5.5,-0.5,0,39,104.24,66,12,0,0,0
550,20,9,1,767000,4,2,0,-6.3,5.5,-0.5,0,39,104.24,66,12,0,0,0
554,20,9,1,7803000,36,2,0,-6.3,5.5,-0.5,0,39,104.24,68,12,0,0,0
558,20,9,1,9252000,43,2,0,-6.3,5.5,-0.5,0,39,104.24,70,12,0,0,0
562,20,9,1,3013000,15,2,0,-6.3,5.5,-0.5,0,39,104.24,72,59,0,0,0
564,20,9,1,14773000,68,2,0,-6.3,5.5,-0.5,0,39,104.24,74,59,0,0,0
568,20,9,1,23298000,107,2,0,-6.3,5.5,-0.5,0,39,104.24,76,59,0,0,0
569,20,9,1,18531000,90,2,1,-6.3,5.5,-0.5,0,39,104.24,76,59,0,0,0
574,20,3,0,41340000,813,2,2,-6.3,5.5,-0.5,0,39,104.24,82,82,0,0,0
575,20,9,0,20090000,183,2,2,-6.3,5.5,-0.5,0,39,104.24,84,14,0,0,0
577,20,9,0,48200000,439,2,2,-6.3,5.5,-0.5,0,39,104.24,88,14,0,0,0
583,20,3,0,55131000,1785,2,2,-6.3,5.5,-0.5,0,39,104.24,100,17,0,0,0
585,20,9,0,56576000,929,2,2,-6.3,5.5,-0.5,0,39,104.24,104,24,0,0,0
587,20,3,0,44875000,1125,2,2,-6.3,5.5,-0.5,0,39,104.24,108,93,0,0,0
594,20,5,0,795000,9,2,2,-6.3,5.5,-0.5,0,39,104.24,120,51,0,0,0
596,20,5,0,31256000,352,2,2,-6.3,5.5,-0.5,0,39,104.24,122,6,0,0,0
600,20,5,0,3381000,38,0,2,-6.3,5.5,-0.5,0,39,104.24,124,51,0,0,0
601,20,5,0,4540000,52,1,2,-6.3,5.5,-0.5,0,39,104.24,124,53,0,0,0
605,20,1,2,35066000,72,2,0,-6.3,5.5,-0.5,0,39,104.24,128,10,0,0,0
609,20,5,0,29616000,330,2,2,-6.3,5.5,-0.5,0,39,104.24,134,65,0,0,0
611,30,6,2,41214000,138,2,2,-6.3,5.5,-0.5,0,39,104.24,138,67,0,0,0
614,20,6,0,4707000,69,2,2,-4.8,4.2,-0.7,0,37,104.24,0,46,0,0,1
616,20,6,0,5968000,87,2,2,-4.8,4.2,-0.7,0,37,104.24,2,46,0,0,1
617,20,6,0,27945000,405,2,2,-4.8,4.2,-0.7,0,37,104.24,4,46,0,0,1
618,20,6,0,11701000,170,2,2,-4.8,4.2,-0.7,0,37,104.24,4,46,0,0,1
621,20,5,0,14892000,253,2,2,-4.8,4.2,-0.7,0,37,104.24,10,70,0,0,1
622,20,7,0,5492000,108,2,2,-4.8,4.2,-0.7,0,37,104.24,36,0,0,0,1
627,20,6,0,15847000,398,2,2,-4.8,4.2,-0.7,0,37,104.24,46,84,0,0,1
629,30,5,0,43221000,541,2,2,-4.8,4.2,-0.7,0,37,104.24,51,0,0,0,1
632,20,7,0,31224000,396,2,2,-4.8,4.2,-0.7,0,37,104.24,58,0,0,0,1
633,20,9,1,9349000,43,2,0,-4.8,4.2,-0.7,0,37,104.24,60,59,0,0,1
644,20,9,1,7795000,40,2,1,-4.8,4.2,-0.7,0,37,104.24,64,59,0,0,1
645,30,5,0,38620000,655,2,2,-4.8,4.2,-0.7,0,37,104.24,66,65,0,0,1
647,20,3,0,29407000,894,2,2,-4.8,4.2,-0.7,0,37,104.24,72,0,0,0,1
648,20,3,0,31423000,956,2,2,-4.8,4.2,-0.7,0,37,104.24,74,0,0,0,1
649,20,3,0,47369000,1440,2,2,-4.8,4.2,-0.7,0,37,104.24,76,0,0,0,1
650,20,3,0,28028000,703,2,2,-4.8,4.2,-0.7,0,37,104.24,78,0,0,0,1
653,20,3,0,36664000,602,2,2,-4.8,4.2,-0.7,0,37,104.24,84,76,0,0,1
656,20,3,0,26608000,445,2,2,-4.8,4.2,-0.7,0,37,104.24,90,0,0,0,1
657,20,3,0,41007000,685,2,2,-4.8,4.2,-0.7,0,37,104.24,92,0,0,0,1
658,20,3,0,49725000,831,2,2,-4.8,4.2,-0.7,0,37,104.24,94,0,0,0,1
660,20,9,0,53381000,595,2,2,-4.8,4.2,-0.7,0,37,104.24,98,21,0,0,1
661,20,9,0,55170000,615,2,2,-4.8,4.2,-0.7,0,37,104.24,100,21,0,0,1
662,20,3,0,28835000,482,2,2,-4.8,4.2,-0.7,0,37,104.24,102,104,0,0,1
664,20,3,0,45476000,760,2,2,-4.8,4.2,-0.7,0,37,104.24,106,104,0,0,1
665,20,9,1,13339000,85,2,1,-4.8,4.2,-0.7,0,37,104.24,108,4,0,0,1
668,20,9,1,3368000,22,2,0,-4.8,4.2,-0.7,0,37,104.24,108,4,0,0,1
669,20,9,1,26556000,169,2,1,-4.8,4.2,-0.7,0,37,104.24,110,4,0,0,1
678,20,5,0,422000,5,2,2,-4.8,4.2,-0.7,0,37,104.24,114,51,0,0,1
