,Unnamed: 0,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가
67,67,2019-01-02 6:00,20,벨라홈 논슬립 옷걸이 세트,4,29800,9605000,323,Wednesday,No,No,0.0
68,68,2019-01-02 6:20,20,벨라홈 논슬립 옷걸이 세트,4,29800,11265000,379,Wednesday,No,No,0.0
69,69,2019-01-02 6:40,20,벨라홈 논슬립 옷걸이 세트,4,29800,14371000,483,Wednesday,No,No,0.0
70,70,2019-01-02 7:00,20,(직매입) 종근당건강 아이클리어 루테인,2,69000,14944000,217,Wednesday,No,No,0.0
71,71,2019-01-02 7:20,20,(직매입) 종근당건강 아이클리어 루테인,2,69000,25881000,376,Wednesday,No,No,0.0
72,72,2019-01-02 7:40,20,(직매입) 종근당건강 아이클리어 루테인,2,69000,30126000,437,Wednesday,No,No,0.0
73,73,2019-01-02 8:00,20,오모떼 레이스 파운데이션 브라,5,59000,11314000,192,Wednesday,No,No,0.0
74,74,2019-01-02 8:20,20,오모떼 레이스 파운데이션 브라,5,59000,21397000,363,Wednesday,No,No,0.0
75,75,2019-01-02 8:40,20,오모떼 레이스 파운데이션 브라,5,59000,34822000,591,Wednesday,No,No,0.0
76,76,2019-01-02 9:00,20,NNF 쿠션퍼자켓+베스트,6,39900,12607000,316,Wednesday,No,No,0.0
77,77,2019-01-02 9:20,20,NNF 쿠션퍼자켓+베스트,6,39900,23042000,578,Wednesday,No,No,0.0
78,78,2019-01-02 9:40,20,NNF 쿠션퍼자켓+베스트,6,39900,38449000,964,Wednesday,No,No,0.0
79,79,2019-01-02 10:00,20,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),9,158000,7239000,46,Wednesday,No,No,0.0
80,80,2019-01-02 10:00,20,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),9,168000,8951000,54,Wednesday,No,No,0.0
81,81,2019-01-02 10:00,20,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),9,148000,2118000,15,Wednesday,No,No,0.0
82,82,2019-01-02 10:00,20,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),9,158000,2262000,15,Wednesday,No,No,0.0
83,83,2019-01-02 10:20,20,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),9,158000,27223000,173,Wednesday,No,No,0.0
84,84,2019-01-02 10:20,20,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),9,168000,13074000,78,Wednesday,No,No,0.0
85,85,2019-01-02 10:20,20,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),9,148000,9408000,64,Wednesday,No,No,0.0
86,86,2019-01-02 10:20,20,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),9,158000,4507000,29,Wednesday,No,No,0.0
87,87,2019-01-02 10:40,20,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),9,158000,44478000,282,Wednesday,No,No,0.0
88,88,2019-01-02 10:40,20,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),9,168000,18925000,113,Wednesday,No,No,0.0
89,89,2019-01-02 10:40,20,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),9,148000,13024000,88,Wednesday,No,No,0.0
90,90,2019-01-02 10:40,20,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),9,158000,3368000,22,Wednesday,No,No,0.0
91,91,2019-01-02 11:00,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,6,299000,29763000,100,Wednesday,No,No,0.0
92,92,2019-01-02 11:30,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,6,299000,66392000,223,Wednesday,No,No,0.0
93,93,2019-01-02 12:00,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,9,238000,10107000,43,Wednesday,No,No,0.0
94,94,2019-01-02 12:00,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,9,228000,2270000,10,Wednesday,No,No,0.0
95,95,2019-01-02 12:00,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,9,218000,1469000,7,Wednesday,No,No,0.0
96,96,2019-01-02 12:00,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,9,208000,2757000,14,Wednesday,No,No,0.0
97,97,2019-01-02 12:20,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,9,238000,17801000,75,Wednesday,No,No,0.0
98,98,2019-01-02 12:20,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,9,228000,17732000,78,Wednesday,No,No,0.0
99,99,2019-01-02 12:20,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,9,218000,10627000,49,Wednesday,No,No,0.0
100,100,2019-01-02 12:20,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,9,208000,4731000,23,Wednesday,No,No,0.0
101,101,2019-01-02 12:40,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,9,238000,25462000,107,Wednesday,No,No,0.0
102,102,2019-01-02 12:40,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,9,228000,21428000,94,Wednesday,No,No,0.0
103,103,2019-01-02 12:40,20,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,9,218000,6384000,30,Wednesday,No,No,0.0
104,104,2019-01-02 12:40,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,9,208000,4095000,20,Wednesday,No,No,0.0
105,105,2019-01-02 13:00,20,하늘내린 용대리황태10미,3,32900,29599000,900,Wednesday,No,No,0.0
106,106,2019-01-02 13:20,20,하늘내린 용대리황태10미,3,32900,40882000,1243,Wednesday,No,No,0.0
107,107,2019-01-02 13:40,20,하늘내린 용대리황태10미,3,32900,42466000,1291,Wednesday,No,No,0.0
108,108,2019-01-02 14:00,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,109000,28456000,262,Wednesday,No,No,0.0
109,109,2019-01-02 14:30,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,109000,56800000,522,Wednesday,No,No,0.0
110,110,2019-01-02 15:00,20,안동간고등어 20팩,3,30900,41722000,1351,Wednesday,No,No,0.0
111,111,2019-01-02 15:20,20,안동간고등어 20팩,3,30900,43167000,1397,Wednesday,No,No,0.0
112,112,2019-01-02 15:40,20,안동간고등어 20팩,3,30900,70322000,2276,Wednesday,No,No,0.0
113,113,2019-01-02 16:00,20,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",3,30900,11931000,387,Wednesday,No,No,0.0
114,114,2019-01-02 16:00,20,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",3,30900,6694000,217,Wednesday,No,No,0.0
115,115,2019-01-02 16:20,20,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",3,30900,16983000,550,Wednesday,No,No,0.0
116,116,2019-01-02 16:20,20,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",3,30900,9744000,316,Wednesday,No,No,0.0
117,117,2019-01-02 16:40,20,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",3,30900,18931000,613,Wednesday,No,No,0.0
118,118,2019-01-02 16:40,20,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",3,30900,11181000,362,Wednesday,No,No,0.0
119,119,2019-01-02 17:00,20,바다먹자 국내산 손질꽃게 7팩,3,59900,30903000,516,Wednesday,No,No,0.0
120,120,2019-01-02 17:20,20,바다먹자 국내산 손질꽃게 7팩,3,59900,50056000,836,Wednesday,No,No,0.0
121,121,2019-01-02 17:40,20,바다먹자 국내산 손질꽃게 7팩,3,59900,49237000,822,Wednesday,No,No,0.0
122,122,2019-01-02 18:00,20,키친플라워 대용량 디지털 에어프라이어 5L,9,89800,22422000,250,Wednesday,No,No,0.0
123,123,2019-01-02 18:20,20,키친플라워 대용량 디지털 에어프라이어 5L,9,89800,33817000,377,Wednesday,No,No,0.0
124,124,2019-01-02 18:40,20,키친플라워 대용량 디지털 에어프라이어 5L,9,89800,44814000,500,Wednesday,No,No,0.0
125,125,2019-01-02 19:00,20,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,3,59900,25985000,434,Wednesday,No,No,0.0
126,126,2019-01-02 19:20,20,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,3,59900,36647000,612,Wednesday,No,No,0.0
127,127,2019-01-02 19:40,20,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,3,59900,65853000,1100,Wednesday,No,No,0.0
128,128,2019-01-02 20:00,20,푸마 코튼 라이크라 드로즈 12종,5,89000,18424000,208,Wednesday,No,No,0.0
129,129,2019-01-02 20:00,20,푸마 INNO 심리스 롱드로즈 7종,5,89000,422000,5,Wednesday,No,No,0.0
130,130,2019-01-02 20:00,20,푸마 드라이셀라인 뉴 런닝 9종,5,89000,1506000,17,Wednesday,No,No,0.0
131,131,2019-01-02 20:20,20,푸마 코튼 라이크라 드로즈 12종,5,89000,41096000,462,Wednesday,No,No,0.0
132,132,2019-01-02 20:20,20,푸마 INNO 심리스 롱드로즈 7종,5,89000,2575000,29,Wednesday,No,No,0.0
133,133,2019-01-02 20:20,20,푸마 드라이셀라인 뉴 런닝 9종,5,89000,3660000,42,Wednesday,No,No,0.0
134,134,2019-01-02 20:40,20,푸마 코튼 라이크라 드로즈 12종,5,89000,52885000,595,Wednesday,No,No,0.0
135,135,2019-01-02 20:40,20,푸마 INNO 심리스 롱드로즈 7종,5,89000,3029000,35,Wednesday,No,No,0.0
136,136,2019-01-02 20:40,20,푸마 드라이셀라인 뉴 런닝 9종,5,89000,4155000,47,Wednesday,No,No,0.0
137,137,2019-01-02 21:00,20,일시불 LG전자 매직스페이스 냉장고,1,1409000,14485000,11,Wednesday,No,No,0.0
138,138,2019-01-02 21:00,20,무이자 LG전자 매직스페이스 냉장고,1,1549000,11986000,8,Wednesday,No,No,0.0
139,139,2019-01-02 21:20,20,일시불 LG전자 매직스페이스 냉장고,1,1409000,25312000,18,Wednesday,No,No,0.0
140,140,2019-01-02 21:20,20,무이자 LG전자 매직스페이스 냉장고,1,1549000,11960000,8,Wednesday,No,No,0.0
141,141,2019-01-02 21:40,20,일시불 LG전자 매직스페이스 냉장고,1,1409000,21729000,16,Wednesday,No,No,0.0
142,142,2019-01-02 21:40,20,무이자 LG전자 매직스페이스 냉장고,1,1549000,23895000,16,Wednesday,No,No,0.0
143,143,2019-01-02 22:00,20,일시불 LG 울트라HD TV 55UK6800HNC,1,1300000,3177000,3,Wednesday,No,No,12.0
144,144,2019-01-02 22:00,20,무이자 LG 울트라HD TV 55UK6800HNC,1,1440000,0,0,Wednesday,No,No,12.0
145,145,2019-01-02 22:00,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1900000,13796000,8,Wednesday,No,No,12.0
146,146,2019-01-02 22:00,20,무이자 LG 울트라HD TV 65UK6800HNC,1,2130000,10329000,5,Wednesday,No,No,12.0
147,147,2019-01-02 22:00,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2700000,0,0,Wednesday,No,No,12.0
148,148,2019-01-02 22:00,20,무이자 LG 울트라HD TV 70UK7400KNA,1,2990000,0,0,Wednesday,No,No,12.0
149,149,2019-01-02 22:20,20,일시불 LG 울트라HD TV 55UK6800HNC,1,1300000,3177000,3,Wednesday,No,No,12.0
150,150,2019-01-02 22:20,20,무이자 LG 울트라HD TV 55UK6800HNC,1,1440000,3541000,3,Wednesday,No,No,12.0
151,151,2019-01-02 22:20,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1900000,32123000,17,Wednesday,No,No,12.0
152,152,2019-01-02 22:20,20,무이자 LG 울트라HD TV 65UK6800HNC,1,2130000,5189000,3,Wednesday,No,No,12.0
153,153,2019-01-02 22:20,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2700000,0,0,Wednesday,No,No,12.0
154,154,2019-01-02 22:20,20,무이자 LG 울트라HD TV 70UK7400KNA,1,2990000,0,0,Wednesday,No,No,12.0
155,155,2019-01-02 22:40,20,일시불 LG 울트라HD TV 55UK6800HNC,1,1300000,6305000,5,Wednesday,No,No,12.0
156,156,2019-01-02 22:40,20,무이자 LG 울트라HD TV 55UK6800HNC,1,1440000,6983000,5,Wednesday,No,No,12.0
157,157,2019-01-02 22:40,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1900000,36730000,20,Wednesday,No,No,12.0
158,158,2019-01-02 22:40,20,무이자 LG 울트라HD TV 65UK6800HNC,1,2130000,15468000,8,Wednesday,No,No,12.0
159,159,2019-01-02 22:40,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2700000,0,0,Wednesday,No,No,12.0
160,160,2019-01-02 22:40,20,무이자 LG 울트라HD TV 70UK7400KNA,1,2990000,14523000,5,Wednesday,No,No,12.0
161,161,2019-01-02 23:00,20,크로커다일 풀커버 레이스 브라팬티 4세트,5,79900,29048000,364,Wednesday,No,No,0.0
162,162,2019-01-02 23:20,20,크로커다일 풀커버 레이스 브라팬티 4세트,5,79900,46224000,579,Wednesday,No,No,0.0
163,163,2019-01-02 23:40,20,크로커다일 풀커버 레이스 브라팬티 4세트,5,79900,31298000,392,Wednesday,No,No,0.0
164,164,2019-01-03 0:00,20,테이트 남성 셀린니트3종,6,39900,7329000,184,Thursday,No,No,0.0
165,165,2019-01-03 0:00,20,테이트 여성 셀린니트3종,6,39900,12050000,303,Thursday,No,No,0.0
166,166,2019-01-03 0:20,20,테이트 남성 셀린니트3종,6,39900,10481000,263,Thursday,No,No,0.0
167,167,2019-01-03 0:20,20,테이트 여성 셀린니트3종,6,39900,22520000,565,Thursday,No,No,0.0
168,168,2019-01-03 1:00,20,푸마 웜셀 기모 치마레깅스 3종,5,59000,13185000,224,Thursday,No,No,0.0
169,169,2019-01-03 1:20,20,푸마 웜셀 기모 치마레깅스 3종,5,59000,17348000,295,Thursday,No,No,0.0
170,170,2019-01-03 1:40,20,푸마 웜셀 기모 치마레깅스 3종,5,59000,24910000,423,Thursday,No,No,0.0
171,171,2019-01-03 6:00,20,에펨 여성 미들퍼부츠,8,39800,2450000,62,Thursday,No,No,0.0
172,172,2019-01-03 6:00,20,에펨 남성 미들퍼부츠,8,49800,2645000,54,Thursday,No,No,0.0
173,173,2019-01-03 6:20,20,에펨 여성 미들퍼부츠,8,39800,5609000,141,Thursday,No,No,0.0
174,174,2019-01-03 6:20,20,에펨 남성 미들퍼부츠,8,49800,3874000,78,Thursday,No,No,0.0
175,175,2019-01-03 6:40,20,에펨 여성 미들퍼부츠,8,39800,9045000,228,Thursday,No,No,0.0
176,176,2019-01-03 6:40,20,에펨 남성 미들퍼부츠,8,49800,6162000,124,Thursday,No,No,0.0
177,177,2019-01-03 7:00,20,천연담아 명품다시팩 100포,3,39900,20546000,515,Thursday,No,No,0.0
178,178,2019-01-03 7:20,20,천연담아 명품다시팩 100포,3,39900,26917000,675,Thursday,No,No,0.0
179,179,2019-01-03 7:40,20,천연담아 명품다시팩 100포,3,39900,35153000,882,Thursday,No,No,0.0
180,180,2019-01-03 8:00,20,엘렌실라 달팽이크림(콜라겐5+팩트3),7,79000,13665000,173,Thursday,No,No,0.0
181,181,2019-01-03 8:20,20,엘렌실라 달팽이크림(콜라겐5+팩트3),7,79000,26788000,340,Thursday,No,No,0.0
182,182,2019-01-03 8:40,20,엘렌실라 달팽이크림(콜라겐5+팩트3),7,79000,36208000,459,Thursday,No,No,0.0
183,183,2019-01-03 9:00,20,로베르타 디 까메리노 노벨라백 2종,8,39000,17518000,450,Thursday,No,No,0.0
184,184,2019-01-03 9:20,20,로베르타 디 까메리노 노벨라백 2종,8,39000,19488000,500,Thursday,No,No,0.0
185,185,2019-01-03 9:40,20,로베르타 디 까메리노 노벨라백 2종,8,39000,36253000,930,Thursday,No,No,0.0
186,186,2019-01-03 10:00,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,109000,32763000,301,Thursday,No,No,0.0
187,187,2019-01-03 10:30,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,109000,70140000,644,Thursday,No,No,0.0
188,188,2019-01-03 11:00,20,보코 리버시블 무스탕,6,79000,16785000,213,Thursday,No,No,0.0
189,189,2019-01-03 11:20,20,보코 리버시블 무스탕,6,79000,32391000,411,Thursday,No,No,0.0
190,190,2019-01-03 11:40,20,보코 리버시블 무스탕,6,79000,35613000,451,Thursday,No,No,0.0
191,191,2019-01-03 12:00,20,(직매입) 종근당건강 아이클리어 루테인,2,69000,18481000,268,Thursday,No,No,0.0
192,192,2019-01-03 12:20,20,(직매입) 종근당건강 아이클리어 루테인,2,69000,24779000,360,Thursday,No,No,0.0
193,193,2019-01-03 12:40,20,(직매입) 종근당건강 아이클리어 루테인,2,69000,45269000,657,Thursday,No,No,0.0
194,194,2019-01-03 13:00,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),7,39800,30273000,761,Thursday,No,No,0.0
195,195,2019-01-03 13:20,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),7,39800,41669000,1047,Thursday,No,No,0.0
196,196,2019-01-03 13:40,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),7,39800,44782000,1126,Thursday,No,No,0.0
197,197,2019-01-03 14:00,20,한일 대용량 스텐 분쇄믹서기,9,109800,22816000,208,Thursday,No,No,0.0
198,198,2019-01-03 14:20,20,한일 대용량 스텐 분쇄믹서기,9,109800,47947000,437,Thursday,No,No,0.0
199,199,2019-01-03 14:40,20,한일 대용량 스텐 분쇄믹서기,9,109800,49139000,448,Thursday,No,No,0.0
200,200,2019-01-03 15:00,20,(도냄)무이자 쿠쿠전기밥솥 10인용,9,218000,13222000,61,Thursday,No,No,0.0
201,201,2019-01-03 15:00,20,(도냄)일시불 쿠쿠전기밥솥 10인용,9,208000,9656000,47,Thursday,No,No,0.0
202,202,2019-01-03 15:00,20,(도냄)무이자 쿠쿠전기밥솥 6인용,9,208000,1530000,8,Thursday,No,No,0.0
203,203,2019-01-03 15:00,20,(도냄)일시불  쿠쿠전기밥솥 6인용,9,198000,4272000,22,Thursday,No,No,0.0
204,204,2019-01-03 15:20,20,(도냄)무이자 쿠쿠전기밥솥 10인용,9,218000,31827000,146,Thursday,No,No,0.0
205,205,2019-01-03 15:20,20,(도냄)일시불 쿠쿠전기밥솥 10인용,9,208000,24436000,118,Thursday,No,No,0.0
206,206,2019-01-03 15:20,20,(도냄)무이자 쿠쿠전기밥솥 6인용,9,208000,5224000,26,Thursday,No,No,0.0
207,207,2019-01-03 15:20,20,(도냄)일시불  쿠쿠전기밥솥 6인용,9,198000,6379000,33,Thursday,No,No,0.0
208,208,2019-01-03 15:40,20,(도냄)무이자 쿠쿠전기밥솥 10인용,9,218000,16324000,75,Thursday,No,No,0.0
209,209,2019-01-03 15:40,20,(도냄)일시불 쿠쿠전기밥솥 10인용,9,208000,25184000,122,Thursday,No,No,0.0
210,210,2019-01-03 15:40,20,(도냄)무이자 쿠쿠전기밥솥 6인용,9,208000,6693000,33,Thursday,No,No,0.0
