,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
36117,2019-12-17 20:20,20,일시불쿠첸압력밥솥 10인용,9,168000,18915000,113,Tuesday,No,No,0,2,1,3.9,12.5,8.3,2.2,25,105.12,20:20:00,122,4,0,0,1
4836,2019-02-20 7:00,20,메시제이 퀼팅코트+퍼베스트,6,59000,15838000,269,Wednesday,No,No,0,2,2,-0.5,7.0,2.8,0.0,42,104.69,7:00:00,42,84,0,0,2
17192,2019-06-13 8:00,30,오모떼 쉐이핑 브라팬티 10종,5,89000,28996000,326,Thursday,No,No,0,2,2,14.7,28.0,21.2,0.0,23,104.88,8:00:00,48,65,0,0,3
16623,2019-06-07 20:40,20,무이자 LG 휘센 씽큐 에어컨 스탠드형FQ17V9KWA1,1,1989000,24102000,13,Friday,No,No,0,2,0,16.6,21.2,18.6,24.2,16,104.88,20:40:00,124,7,0,0,4
4684,2019-02-18 22:20,20,무이자 LG 통돌이 세탁기,1,489000,19119000,40,Monday,No,No,0,2,0,-4.4,7.5,2.2,0.1,29,104.69,22:20:00,134,10,0,0,0
31479,2019-10-30 20:20,20,무이자 LG 통돌이 세탁기,1,489000,28978000,60,Wednesday,No,No,0,2,0,5.7,18.3,11.3,0.0,36,105.46,20:20:00,122,10,0,0,2
14700,2019-05-20 14:40,10,에버라스트 드로즈 10+4종,5,39900,20019000,502,Monday,No,No,0,2,2,11.9,21.0,17.0,1.7,30,105.05,14:40:00,88,6,0,0,0
35074,2019-12-07 22:20,20,LG 울트라HD TV 65UM7900BNA,1,1700000,42882000,26,Saturday,Yes,No,12,2,2,-6.5,6.1,0.1,0.0,31,105.12,22:20:00,134,1,0,1,5
19333,2019-07-04 22:00,20,무이자 캐리어 벽걸이에어컨 6형 ARC06NQT,1,539000,4458000,9,Thursday,No,No,0,2,0,18.4,31.2,24.4,0.0,27,104.56,22:00:00,132,22,0,0,3
26350,2019-09-10 18:20,20,(쿠)일시불 쿠첸 압력밥솥 6인용 (A1),9,148000,12651000,86,Tuesday,No,No,0,2,1,22.5,29.6,25.4,15.3,22,105.2,18:20:00,110,4,0,0,1
12693,2019-05-03 22:20,20,무이자 LG 울트라HD TV 65UK6800HNC,1,1930000,13415000,7,Friday,No,No,12,2,0,7.6,25.9,16.7,0.0,44,105.05,22:20:00,134,1,0,0,4
14567,2019-05-19 10:00,20,도스문도스 카이만 엠보 소가죽 토트백 1종,8,99000,7117000,72,Sunday,Yes,No,0,2,2,16.9,22.6,19.5,7.2,17,105.05,10:00:00,60,30,0,1,6
11460,2019-04-22 17:00,20,무이자 쿠첸 압력밥솥 6인용 (A1),9,158000,1197000,8,Monday,No,No,0,2,0,10.2,25.6,17.6,0.0,49,104.87,17:00:00,102,4,0,0,0
29248,2019-10-07 19:40,20,[K-SWISS] 19 F/W 남성 패딩 트랙수트 2종,6,79900,48498000,607,Monday,No,No,0,0,2,13.8,17.7,15.5,8.6,15,105.46,19:40:00,118,44,0,0,0
7777,2019-03-20 21:40,20,무이자 삼성 노트북 9 메탈 고급형 NT900X5J-K28,1,1349000,54636000,41,Wednesday,No,No,0,2,0,5.3,17.2,11.4,16.1,53,104.49,21:40:00,130,13,0,0,2
607,2019-01-07 21:40,20,무이자 LG 통돌이 세탁기,1,489000,41259000,85,Monday,No,No,0,2,0,-6.3,5.5,-0.5,0.0,39,104.24,21:40:00,130,10,0,0,0
14491,2019-05-18 13:00,20,비버리힐스폴로클럽 남성기초세트(골드+플라),7,39800,40147000,1009,Saturday,Yes,No,0,2,2,16.4,21.8,18.8,21.3,22,105.05,13:00:00,78,87,0,1,5
31074,2019-10-26 1:20,20,옛날 그 쥐포 110장 (11팩),3,32900,26325000,801,Saturday,Yes,No,0,2,2,8.9,17.0,12.8,0.0,26,105.46,1:20:00,8,61,0,1,5
19243,2019-07-03 22:00,20,일시불 LG전자 매직스페이스 냉장고,1,1359000,21877000,17,Wednesday,No,No,0,2,1,18.4,28.5,23.1,0.0,25,104.56,22:00:00,132,9,0,0,2
17346,2019-06-14 21:20,20,(무)[보루네오] 피올레 천연소가죽 소파 3인용,0,749000,4393000,6,Friday,No,No,0,2,2,16.8,24.7,20.2,2.3,25,104.88,21:20:00,128,8,0,0,4
18462,2019-06-26 10:20,20,도스문도스 카이만 엠보 소가죽 토트백 1종,8,89000,16630000,187,Wednesday,No,No,0,2,2,18.0,24.4,21.1,33.1,25,104.88,10:20:00,62,30,0,0,2
3185,2019-02-04 0:20,20,K-SWISS 남성약기모팬츠3종,6,69900,15152000,217,Monday,No,Yes,0,0,2,-1.5,6.8,2.5,0.0,68,104.69,0:20:00,2,42,1,0,0
24281,2019-08-19 21:40,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1690000,51219000,31,Monday,No,No,12,2,1,20.0,30.8,25.1,0.4,25,104.81,21:40:00,130,1,0,0,0
32803,2019-11-13 18:00,20,천연담아 명품다시팩 100포,3,43900,47551000,1084,Wednesday,No,No,0,2,2,3.7,13.9,8.9,2.8,30,104.87,18:00:00,108,0,0,0,2
37316,2019-12-31 14:40,20,베지밀 검은콩 두유  96팩,2,50900,28317000,557,Tuesday,No,No,0,2,2,-6.7,0.4,-3.8,0.1,19,105.12,14:40:00,88,0,0,0,1
19161,2019-07-03 8:20,20,무이자 락앤락 유로오븐글라스 세트,9,69800,4032000,58,Wednesday,No,No,0,2,0,18.4,28.5,23.1,0.0,25,104.56,8:20:00,50,58,0,0,2
28537,2019-10-01 7:20,20,무농약레드비트즙 90봉,2,39900,34456000,864,Tuesday,No,No,0,2,2,18.4,24.9,21.5,9.4,32,105.46,7:20:00,44,0,0,0,1
10268,2019-04-12 9:20,20,K-SWISS 여성에어핏트랙수트,6,89000,16564000,187,Friday,No,No,0,1,2,4.1,17.7,10.7,0.1,31,104.87,9:20:00,56,0,0,0,4
4140,2019-02-13 18:40,20,우리바다 손질왕꼬막 24팩,3,39900,65595000,1644,Wednesday,No,No,0,2,2,-4.1,5.3,0.3,0.0,43,104.69,18:40:00,112,93,0,0,2
18316,2019-06-24 13:20,20,청정수산 완도활전복 35미,3,59900,34874000,583,Monday,No,No,0,2,2,17.2,28.4,22.5,0.1,18,104.88,13:20:00,80,0,0,0,0
19810,2019-07-09 14:00,20,영산포숙성 홍어8팩+무침3통,3,40900,18118000,443,Tuesday,No,No,0,2,2,18.4,27.0,22.6,0.2,14,104.56,14:00:00,84,0,0,0,1
145,2019-01-02 22:00,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1900000,13796000,8,Wednesday,No,No,12,2,1,-7.0,3.2,-2.5,0.0,24,104.24,22:00:00,132,1,0,0,2
6563,2019-03-08 22:40,20,무이자 LG전자 매직스페이스 냉장고,1,1549000,60321000,39,Friday,No,No,0,2,0,-1.3,14.5,6.1,0.0,36,104.49,22:40:00,136,9,0,0,4
22128,2019-07-30 15:00,20,일시불  쿠쿠전기밥솥 6인용(QS),9,198000,3835000,20,Tuesday,No,No,0,2,1,24.7,32.5,28.4,0.7,17,104.56,15:00:00,90,59,0,0,1
6191,2019-03-05 14:20,20,크리스티나앤코 가디건세트,6,34000,28966000,852,Tuesday,No,No,2,2,2,1.2,14.4,8.2,0.0,120,104.49,14:20:00,86,0,0,0,1
2822,2019-01-31 12:40,20,키친플라워 대용량 디지털 에어프라이어 5L,9,89800,33475000,373,Thursday,No,No,0,2,2,-3.8,4.7,0.3,4.9,46,104.24,12:40:00,76,21,0,0,3
3477,2019-02-06 22:40,20,일시불 삼성 UHD TV UN55NU7010FXKR,1,1000000,5394000,6,Wednesday,No,Yes,12,2,1,-1.2,12.9,5.6,0.0,72,104.69,22:40:00,136,1,1,0,2
657,2019-01-08 15:20,20,청정수산 완도활전복 35미,3,59900,41007000,685,Tuesday,No,No,0,2,2,-4.8,4.2,-0.7,0.0,37,104.24,15:20:00,92,0,0,0,1
31840,2019-11-03 17:40,20,멋진밥상 흥양농협 햅쌀 20kg,3,58900,54962000,934,Sunday,Yes,No,0,2,2,9.4,20.5,13.8,1.5,42,104.87,17:40:00,106,76,0,1,6
19799,2019-07-09 12:20,20,무이자 쿠쿠 블랙스톤 전기밥솥 10인용,9,278000,6875000,25,Tuesday,No,No,0,2,0,18.4,27.0,22.6,0.2,14,104.56,12:20:00,74,59,0,0,1
31913,2019-11-04 11:00,20,푸마 드라이셀 쉐이핑 레깅스 3종,5,59000,12475000,212,Monday,No,No,0,2,2,7.6,18.9,12.5,0.2,22,104.87,11:00:00,66,62,0,0,0
34496,2019-12-02 6:20,20,임페리얼 남성 패딩코트세트,6,99000,5133000,52,Monday,No,No,0,0,2,0.2,6.8,3.6,0.2,20,105.12,6:20:00,38,67,0,0,0
26380,2019-09-10 21:20,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2400000,0,0,Tuesday,No,No,12,2,1,22.5,29.6,25.4,15.3,22,105.2,21:20:00,128,1,0,0,1
25000,2019-08-27 6:40,10,[페플럼제이] 19Fall' 소프트 루즈 니트 풀오버 4종,6,79000,2209000,28,Tuesday,No,No,0,2,2,20.5,25.4,22.7,16.7,20,104.81,6:40:00,40,36,0,0,1
25128,2019-08-28 19:00,20,NNF SS트레이닝 세트(8월),6,29000,18091000,624,Wednesday,No,No,0,2,2,21.0,27.7,23.8,0.9,19,104.81,19:00:00,114,0,0,0,2
9439,2019-04-05 1:20,20,푸마 코튼 언더탑 9종,5,89000,3397000,39,Friday,No,No,0,2,2,5.2,19.0,11.7,0.0,74,104.87,1:20:00,8,0,0,0,4
31894,2019-11-04 7:20,20,콜라겐3.2 아임파인 (3개월),2,59900,986000,17,Monday,No,No,0,2,2,7.6,18.9,12.5,0.2,22,104.87,7:20:00,44,0,0,0,0
31700,2019-11-02 2:00,20,[디즈니] 19 F/W 남성 기모 라운드 맨투맨 3종,6,59000,3117000,53,Saturday,Yes,No,0,0,2,7.7,19.9,13.5,0.0,55,104.87,2:00:00,12,0,0,1,5
13069,2019-05-06 21:00,20,무이자 LG 울트라HD TV 75UK6200KNB,1,3090000,7208000,3,Monday,No,Yes,12,2,0,8.3,20.3,14.0,0.1,37,105.05,21:00:00,126,1,1,0,0
32763,2019-11-13 11:20,20,일시불 쿠쿠전기밥솥 10인용 (QS),9,208000,14920000,72,Wednesday,No,No,0,2,1,3.7,13.9,8.9,2.8,30,104.87,11:20:00,68,59,0,0,2
1320,2019-01-15 13:20,20,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,9,208000,4047000,20,Tuesday,No,No,0,2,1,-3.9,6.1,0.9,0.1,88,104.24,13:20:00,80,12,0,0,1
29517,2019-10-09 23:20,20,(일)[보루네오] 피올레 천연소가죽 소파 3인용,0,699000,1906000,3,Wednesday,No,Yes,0,2,2,6.8,21.2,13.3,0.0,24,105.46,23:20:00,140,8,1,0,2
24086,2019-08-17 22:40,20,(일)[보루네오] 피올레 천연소가죽 소파 4인용,0,899000,13704000,16,Saturday,Yes,No,0,2,2,22.0,31.0,26.2,2.1,28,104.81,22:40:00,136,8,0,1,5
20409,2019-07-14 22:40,20,일시불 LG 울트라HD TV 55UK6800HNC,1,1200000,5437000,5,Sunday,Yes,No,12,2,1,20.2,29.1,23.9,2.1,27,104.56,22:40:00,136,1,0,1,6
15168,2019-05-24 17:20,20,(쿠)일시불 쿠첸 압력밥솥 6인용 (A1),9,148000,11792000,80,Friday,No,No,0,2,1,14.0,31.6,22.9,0.0,62,105.05,17:20:00,104,4,0,0,4
10945,2019-04-17 23:00,20,(일) 삼익가구 LED 제니비 서랍형 침대 K,0,599000,0,0,Wednesday,No,No,0,2,2,8.7,23.0,15.5,0.5,34,104.87,23:00:00,138,3,0,0,2
27304,2019-09-19 1:20,20,효재 동백 자수 광목 워싱차렵침구세트SS,10,139000,491000,4,Thursday,No,No,0,2,2,13.5,25.6,19.2,0.0,24,105.2,1:20:00,8,11,0,0,3
21947,2019-07-28 16:20,20,(쿠)일시불 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),9,168000,30288000,181,Sunday,Yes,No,0,2,1,25.0,29.9,26.9,10.9,17,104.56,16:20:00,98,4,0,1,6
33626,2019-11-22 11:00,20,칼리베이직 2019 패브릭 백 4종 (시즌 3) (ARS),8,59000,41377000,702,Friday,No,No,0,2,2,2.8,17.3,9.3,0.0,31,104.87,11:00:00,66,0,0,0,4
28806,2019-10-03 15:20,20,무이자 LG전자 로보킹 터보 R46RIM,1,443000,22969000,52,Thursday,No,Yes,12,2,0,18.7,26.3,22.0,28.9,20,105.46,15:20:00,92,0,1,0,3
26120,2019-09-08 0:20,20,보몽드 엘리 소프트플란넬 침구세트 SS(슈퍼싱글),10,49900,1523000,31,Sunday,Yes,No,0,2,2,21.8,28.5,24.6,0.8,24,105.2,0:20:00,2,11,0,1,6
10635,2019-04-15 14:20,20,무이자 해피콜 크로커다일 IH후라이팬,9,99000,7689000,78,Monday,No,No,0,2,0,2.3,19.6,11.1,0.0,46,104.87,14:20:00,86,52,0,0,0
22118,2019-07-30 13:40,20,오가닉뷰티 쿨 번아웃 레이스 란쥬세트,5,69900,43822000,627,Tuesday,No,No,0,2,2,24.7,32.5,28.4,0.7,17,104.56,13:40:00,82,0,0,0,1
31351,2019-10-29 10:20,20,[K-SWISS] 19 F/W 여성 패딩 트랙수트 2종,6,79900,21895000,275,Tuesday,No,No,0,1,2,8.0,18.8,13.2,0.7,65,105.46,10:20:00,62,44,0,0,1
17497,2019-06-15 21:20,30,무이자 LG 울트라HD TV 65UK6800HNC,1,1920000,17274000,9,Saturday,Yes,No,12,2,0,16.1,26.4,20.4,3.8,25,104.88,21:20:00,128,1,0,1,5
24455,2019-08-21 11:20,20,안동간고등어 20팩,3,30900,74727000,2419,Wednesday,No,No,0,2,2,22.5,30.1,25.8,8.6,28,104.81,11:20:00,68,17,0,0,2
20313,2019-07-14 8:40,20,CERINI by PAT 남성 에어 카라티셔츠 4종,6,59900,68029000,1136,Sunday,Yes,No,0,0,2,20.2,29.1,23.9,2.1,27,104.56,8:40:00,52,46,0,1,6
32412,2019-11-09 10:20,30,코치 라일라 더블 크로스백,8,219000,4419000,21,Saturday,Yes,No,0,2,2,1.6,17.3,8.5,0.1,32,104.87,10:20:00,62,28,0,1,5
20578,2019-07-16 11:20,20,보몽드 샐비어 시어서커 리플 침구세트 Q,10,59900,10581000,177,Tuesday,No,No,0,2,2,20.3,28.7,23.8,4.5,23,104.56,11:20:00,68,11,0,0,1
9938,2019-04-09 8:00,20,컬럼비아 여성 베이스레이어 5종,5,69000,3234000,47,Tuesday,No,No,0,2,2,4.8,15.4,9.3,23.2,24,104.87,8:00:00,48,0,0,0,1
28416,2019-09-29 22:20,20,(무)[보루네오] 피올레 천연소가죽 소파 6인용,0,1249000,12986000,11,Sunday,Yes,No,0,2,2,18.0,28.5,22.2,0.1,30,105.2,22:20:00,134,8,0,1,6
27989,2019-09-25 13:40,20,무이자 종근당건강 락토핏 생유산균골드 단하루,2,79000,15735000,200,Wednesday,No,No,0,2,0,12.6,24.8,18.4,0.0,24,105.2,13:40:00,82,32,0,0,2
24776,2019-08-24 20:40,20,깐깐송도순 포기김치 8kg+ 백김치 2kg,3,38900,15466000,398,Saturday,Yes,No,0,2,2,18.9,27.6,22.8,0.0,23,104.81,20:40:00,124,94,0,1,5
17043,2019-06-11 21:00,20,(무)삼익가구 어블러 LED 멀티 수납형 침대 퀸,0,599000,2982000,5,Tuesday,No,No,0,2,2,14.8,23.8,18.8,0.3,15,104.88,21:00:00,126,3,0,0,1
22037,2019-07-29 17:40,20,AAB의 소곱창전골 800g x 8팩,3,55900,54000000,967,Monday,No,No,0,2,2,24.3,32.1,27.8,0.1,15,104.56,17:40:00,106,26,0,0,0
17701,2019-06-17 20:40,20,(일)삼익가구 어블러 LED 멀티 수납형 침대 킹,0,599000,17639000,30,Monday,No,No,0,2,2,16.8,26.8,21.3,0.0,22,104.88,20:40:00,124,3,0,0,0
606,2019-01-07 21:40,20,일시불 LG 통돌이 세탁기,1,439000,49680000,114,Monday,No,No,0,2,1,-6.3,5.5,-0.5,0.0,39,104.24,21:40:00,130,10,0,0,0
10834,2019-04-17 0:00,20,(일)보루네오 유로탑 가죽 침대 킹,0,689000,5791000,9,Wednesday,No,No,0,2,2,8.7,23.0,15.5,0.5,34,104.87,0:00:00,0,5,0,0,2
36829,2019-12-25 12:00,20,AAB의 소곱창전골 800g x 8팩,3,55900,82336000,1473,Wednesday,No,Yes,0,2,2,-3.2,10.9,3.5,0.0,33,105.12,12:00:00,72,26,1,0,2
24563,2019-08-22 15:00,20,한일 대용량 스텐 분쇄믹서기,9,109800,18224000,166,Thursday,No,No,0,2,2,23.0,30.3,25.8,25.2,26,104.81,15:00:00,90,14,0,0,3
7425,2019-03-17 13:00,20,일시불 쿠쿠전기밥솥 10인용,9,208000,8478000,41,Sunday,Yes,No,0,2,1,1.1,13.1,6.6,0.0,30,104.49,13:00:00,78,59,0,1,6
33970,2019-11-26 15:20,20,한일 대용량 스텐 분쇄믹서기,9,109800,50462000,460,Tuesday,No,No,0,2,2,2.6,13.5,7.7,0.5,21,104.87,15:20:00,92,14,0,0,1
8491,2019-03-28 0:00,30,스프리스 남성 코트 스니커즈,8,69000,3856000,56,Thursday,No,No,0,2,2,6.6,16.1,10.6,0.6,44,104.49,0:00:00,0,92,0,0,3
4969,2019-02-21 13:20,20,무이자 쿠쿠 하이브리드 인덕션레인지(프리미엄형),9,799000,7444000,10,Thursday,No,No,0,2,0,-2.7,9.4,2.7,0.0,55,104.69,13:20:00,80,0,0,0,3
11420,2019-04-22 7:40,20,[플로쥬] 트윙클 아일렛 스니커즈,8,39000,27408000,703,Monday,No,No,0,2,2,10.2,25.6,17.6,0.0,49,104.87,7:40:00,46,92,0,0,0
23512,2019-08-12 18:30,30,[루이띠에] 18K 베르니아 팔찌 반지 세트,8,2030000,13069000,7,Monday,No,No,12,2,2,25.3,31.0,27.7,15.5,21,104.81,18:30:00,111,75,0,0,0
24337,2019-08-20 10:40,20,깐깐송도순 포기김치 8kg+ 백김치 2kg,3,38900,25523000,657,Tuesday,No,No,0,2,2,21.7,30.9,26.0,0.2,28,104.81,10:40:00,64,94,0,0,1
29171,2019-10-06 21:20,20,무이자 LG 울트라HD TV 75UM7900BNA,1,2990000,0,0,Sunday,Yes,No,12,2,0,13.4,21.8,17.3,0.0,16,105.46,21:20:00,128,1,0,1,6
31140,2019-10-26 22:00,20,(점보특대형)일월 에너지세이브 카페트매트,4,198000,33120000,168,Saturday,Yes,No,0,2,2,8.9,17.0,12.8,0.0,26,105.46,22:00:00,132,111,0,1,5
7433,2019-03-17 13:40,20,일시불 쿠쿠전기밥솥 10인용,9,208000,42938000,207,Sunday,Yes,No,0,2,1,1.1,13.1,6.6,0.0,30,104.49,13:40:00,82,59,0,1,6
8535,2019-03-28 14:40,20,로베르타 디 까메리노 Y밸런스업 지퍼쉐이핑 란쥬,5,99900,43697000,438,Thursday,No,No,0,2,2,6.6,16.1,10.6,0.6,44,104.49,14:40:00,88,0,0,0,3
23056,2019-08-08 12:40,20,오가닉뷰티 쿨 번아웃 레이스 브라세트,5,69900,24907000,357,Thursday,No,No,0,2,2,24.2,33.2,27.6,5.7,28,104.81,12:40:00,76,85,0,0,3
16944,2019-06-10 21:20,20,무이자 LG 휘센 씽큐 에어컨 스탠드형FQ17V9KWA1,1,1989000,0,0,Monday,No,No,0,2,0,15.3,22.2,18.3,4.0,15,104.88,21:20:00,128,7,0,0,0
28293,2019-09-28 17:00,20,깐깐송도순 포기김치 10kg,3,38900,30280000,779,Saturday,Yes,No,0,2,2,19.3,27.4,22.5,1.8,25,105.2,17:00:00,102,50,0,1,5
21765,2019-07-26 20:20,20,무이자 LG 통돌이 세탁기,1,489000,18460000,38,Friday,No,No,0,2,0,24.7,29.2,26.5,19.0,19,104.56,20:20:00,122,10,0,0,4
5633,2019-02-28 18:00,20,안동간고등어 20팩,3,30900,32726000,1060,Thursday,No,No,0,2,2,1.4,13.4,6.8,0.1,75,104.69,18:00:00,108,17,0,0,3
19256,2019-07-04 0:20,20,삭루츠 호보백(TQ48),8,58000,7614000,132,Thursday,No,No,0,2,2,18.4,31.2,24.4,0.0,27,104.56,0:20:00,2,0,0,0,3
34012,2019-11-27 6:20,20,구스터 티포트 1세트,9,39900,8499000,214,Wednesday,No,No,0,2,2,2.6,9.7,6.2,1.0,26,104.87,6:20:00,38,0,0,0,2
36515,2019-12-22 8:00,20,CERINI by PAT 남성 니트 스웨터 4종,6,69900,42392000,607,Sunday,Yes,No,0,0,2,-1.1,9.0,3.0,0.1,39,105.12,8:00:00,48,36,0,1,6
7490,2019-03-18 6:40,20,로베르타 디 까메리노 아쿠아마레 백팩 4종세트,8,59000,15098000,256,Monday,No,No,0,2,2,-0.7,15.0,7.5,0.0,29,104.49,6:40:00,40,81,0,0,0
8772,2019-03-30 19:40,20,리복 델타 피트니스 트렁크 8종,5,89000,6791000,77,Saturday,Yes,No,0,2,2,3.7,12.2,7.2,3.0,27,104.49,19:40:00,118,19,0,1,5
34966,2019-12-06 20:20,20,무이자 쿠쿠전기밥솥 10인용(CRP-QS107FG/FS),9,218000,24638000,114,Friday,No,No,0,2,0,-7.7,2.3,-3.2,0.0,26,105.12,20:20:00,122,59,0,0,4
10551,2019-04-14 19:40,20,키친플라워 대용량 디지털 에어프라이어 5L,9,89800,72322000,806,Sunday,Yes,No,0,2,2,6.3,14.7,10.2,0.8,31,104.87,19:40:00,118,21,0,1,6
7651,2019-03-19 19:40,20,푸마 드라이셀 브라탑 4종세트(끈형),5,69000,3990000,58,Tuesday,No,No,0,2,2,2.2,19.0,10.7,0.0,40,104.49,19:40:00,118,66,0,0,1
19670,2019-07-08 11:00,20,보몽드 샐비어 시어서커 리플 침구세트 K,10,69900,8276000,119,Monday,No,No,0,2,2,18.9,27.3,22.6,0.5,15,104.56,11:00:00,66,11,0,0,0
12157,2019-04-28 23:00,20,일시불 LG 울트라HD TV 55UK6800HNC,1,1300000,9645000,8,Sunday,Yes,No,12,2,1,8.4,17.1,12.1,0.2,19,104.87,23:00:00,138,1,0,1,6
26739,2019-09-14 11:20,20,푸마 시그니처 코튼 트렁크 패키지,5,89000,8647000,98,Saturday,Yes,Yes,0,2,2,17.4,27.5,22.3,0.1,15,105.2,11:20:00,68,19,1,1,5
6457,2019-03-07 22:20,20,푸마 드라이셀 치마레깅스 3종,5,59000,11023000,187,Thursday,No,No,0,2,2,2.1,12.1,6.5,0.5,52,104.49,22:20:00,134,70,0,0,3
33049,2019-11-16 10:20,30,코치 플라이트백,8,159000,1864000,12,Saturday,Yes,No,0,2,2,5.1,17.1,10.3,0.2,32,104.87,10:20:00,62,0,0,1,5
15518,2019-05-27 20:40,20,(쿠)일시불 쿠첸 압력밥솥 6인용 (A1),9,148000,20307000,138,Monday,No,No,0,2,1,15.4,22.1,18.6,22.9,21,105.05,20:40:00,124,4,0,0,0
19616,2019-07-07 21:40,20,[라쉬반］FC바로셀로나 에디션 드로즈SET,5,119000,50904000,428,Sunday,Yes,No,0,2,2,19.8,28.2,23.5,0.2,20,104.56,21:40:00,130,6,0,1,6
19448,2019-07-05 22:00,20,리복 스피드윅 런닝 6종,5,89000,5414000,61,Friday,No,No,0,2,2,19.1,32.0,25.1,0.0,29,104.56,22:00:00,132,53,0,0,4
11370,2019-04-21 21:40,20,19 SS USPA  남성 화이트라벨 폴로셔츠 3종,6,79000,17959000,228,Sunday,Yes,No,0,0,2,12.0,22.1,16.5,0.1,30,104.87,21:40:00,130,0,0,1,6
19820,2019-07-09 16:20,20,국내산 손질 병어 26미,3,49900,33125000,664,Tuesday,No,No,0,2,2,18.4,27.0,22.6,0.2,14,104.56,16:20:00,98,0,0,0,1
35475,2019-12-11 9:20,20,까사마루 접이식 테이블 세트(1+1세트),4,158000,3303000,21,Wednesday,No,No,0,2,2,1.8,13.3,6.9,0.2,45,105.12,9:20:00,56,0,0,0,2
22678,2019-08-04 22:00,20,일시불 LG 울트라HD TV 65UK6800HNC,1,1690000,19721000,12,Sunday,Yes,No,12,2,1,23.9,34.2,28.4,0.6,28,104.81,22:00:00,132,1,0,1,6
12678,2019-05-03 21:20,20,K-SWISS 남성에어핏트랙수트,6,79900,37976000,476,Friday,No,No,0,0,2,7.6,25.9,16.7,0.0,44,105.05,21:20:00,128,0,0,0,4
