,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
939,2019-01-11 16:00,20,천수봉명인 선재 전통 메주세트,3,99000,29449000,298,Friday,No,No,0,2,2,-3.4,8.1,2.1,0.0,54,104.24,16:00:00,96,0,0,0,4
10842,2019-04-17 0:40,20,(일)보루네오 유로탑 가죽 침대 슈퍼싱글,0,589000,3286000,6,Wednesday,No,No,0,2,2,8.7,23.0,15.5,0.5,34,104.87,0:40:00,4,5,0,0,2
27836,2019-09-23 21:40,20,보루네오 루나시즌2 유로탑 멀티수납형 LED침대 슈퍼싱글,0,548000,54262000,100,Monday,No,No,0,2,2,14.4,22.5,18.1,0.4,15,105.2,21:40:00,130,18,0,0,0
5789,2019-03-01 23:20,20,(일) 삼익가구 LED 제니비 서랍형 침대 SS,0,499000,16631000,34,Friday,No,Yes,0,2,2,-0.3,13.7,6.0,0.0,91,104.49,23:20:00,140,3,1,0,4
15794,2019-05-30 22:20,20,젠트웰 스트레치 통풍 메쉬 자켓 1종,6,49000,50771000,1037,Thursday,No,No,0,2,2,12.7,27.6,20.5,0.1,34,105.05,22:20:00,134,79,0,0,3
10744,2019-04-16 9:20,20,파뷔에 항균도마 1+1세트,9,49800,50030000,1005,Tuesday,No,No,0,2,2,4.3,23.3,14.2,0.0,38,104.87,9:20:00,56,72,0,0,1
19665,2019-07-08 9:30,30,에코라믹 컬링스톤프라이팬세트,9,50900,52473000,1031,Monday,No,No,0,2,2,18.9,27.3,22.6,0.5,15,104.56,9:30:00,57,41,0,0,0
15351,2019-05-26 10:20,20,보코 메쉬 아이스 풀코디,6,59000,45332000,769,Sunday,Yes,No,0,2,2,16.4,30.1,23.2,0.1,35,105.05,10:20:00,62,0,0,1,6
28887,2019-10-04 9:20,20,[헤스티지] 마론 양가죽 남성집업재킷,6,199000,12783000,65,Friday,No,No,0,0,2,17.1,26.9,21.2,0.3,30,105.46,9:20:00,56,0,0,0,4
37352,2019-12-31 21:00,20,무이자 1+1 국내제조 노비타 뉴스파 비데  무료설치,4,458000,6781000,15,Tuesday,No,No,0,2,0,-6.7,0.4,-3.8,0.1,19,105.12,21:00:00,126,23,0,0,1
17836,2019-06-19 14:40,20,마르엘라로사티 썸머 와이드 팬츠 3종,6,39900,34025000,853,Wednesday,No,No,0,2,2,18.3,27.5,22.2,0.8,26,104.88,14:40:00,88,42,0,0,2
37225,2019-12-30 10:20,20,영산포숙성홍어회7팩,3,29900,31022000,1038,Monday,No,No,0,2,2,0.1,9.8,5.0,0.9,24,105.12,10:20:00,62,0,0,0,0
10522,2019-04-14 12:20,20,레코바 남성 다이얼워킹화세트,8,54900,23700000,432,Sunday,Yes,No,0,2,2,6.3,14.7,10.2,0.8,31,104.87,12:20:00,74,100,0,1,6
3954,2019-02-11 21:20,20,마리노블 밍크 퍼 베스트,6,269000,29721000,111,Monday,No,No,0,2,2,-4.7,3.9,-0.8,0.0,28,104.69,21:20:00,128,84,0,0,0
11961,2019-04-26 21:40,20,무이자 LG 휘센 씽큐 에어컨 2IN1형 FQ17V9KWA2,1,2299000,128636000,56,Friday,No,No,0,2,0,7.6,11.6,9.4,6.3,16,104.87,21:40:00,130,7,0,0,4
21301,2019-07-22 18:40,20,멋진밥상 흥양농협 쌀 20kg,3,59900,35626000,595,Monday,No,No,0,2,2,23.2,31.6,27.0,0.3,27,104.56,18:40:00,112,39,0,0,0
17286,2019-06-14 8:50,10,배관청소용품 뚜러킹 세트,4,39800,17193000,432,Friday,No,No,0,2,2,16.8,24.7,20.2,2.3,25,104.88,8:50:00,53,0,0,0,4
29805,2019-10-12 22:00,20,무이자 LG 울트라HD TV 75UM7900BNA,1,2990000,0,0,Saturday,Yes,No,12,2,0,13.5,23.4,18.0,0.0,25,105.46,22:00:00,132,1,0,1,5
7721,2019-03-20 11:40,20,올리고 가스와이드그릴레인지 프리미엄형,9,129000,22995000,179,Wednesday,No,No,0,2,2,5.3,17.2,11.4,16.1,53,104.49,11:40:00,70,40,0,0,2
35709,2019-12-13 19:40,20,임성근의 녹용도가니탕 풀세트,3,55900,48448000,867,Friday,No,No,0,2,2,-4.6,8.1,1.6,0.1,24,105.12,19:40:00,118,47,0,0,4
8657,2019-03-29 21:00,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2500000,12787000,6,Friday,No,No,12,2,1,5.0,17.0,10.6,0.0,33,104.49,21:00:00,126,1,0,0,4
8372,2019-03-26 19:20,20,에코라믹 통주물 스톤 냄비세트,9,60900,41382000,680,Tuesday,No,No,0,2,2,3.2,18.7,10.5,0.0,45,104.49,19:20:00,116,24,0,0,1
29262,2019-10-07 21:20,20,무이자 쿠쿠전기밥솥 6인용(QS),9,208000,9613000,47,Monday,No,No,0,2,0,13.8,17.7,15.5,8.6,15,105.46,21:20:00,128,59,0,0,0
35756,2019-12-14 9:20,20,월드컵 남성 방한 트레킹화 + 패딩슈즈 2종,8,39800,21411000,538,Saturday,Yes,No,0,2,2,-0.1,9.0,4.0,0.4,29,105.12,9:20:00,56,44,0,1,5
21459,2019-07-23 22:20,20,일시불 LG전자 매직스페이스 냉장고,1,1359000,40066000,30,Tuesday,No,No,0,2,1,24.2,32.8,27.9,0.0,21,104.56,22:20:00,134,9,0,0,1
28795,2019-10-03 13:40,20,코치 베네트 사첼백,8,198000,17597000,89,Thursday,No,Yes,0,2,2,18.7,26.3,22.0,28.9,20,105.46,13:40:00,82,56,1,0,3
31380,2019-10-29 14:40,20,보몽드 헤르만 착번아웃 극세사 침구세트 SS(슈퍼싱글),10,59900,8526000,143,Tuesday,No,No,0,2,2,8.0,18.8,13.2,0.7,65,105.46,14:40:00,88,11,0,0,1
10497,2019-04-14 10:00,20,무이자 삼성 UHD TV UN55NU7050F,1,1080000,6538000,7,Sunday,Yes,No,12,2,0,6.3,14.7,10.2,0.8,31,104.87,10:00:00,60,1,0,1,6
27820,2019-09-23 19:20,20,무이자 매직쉐프 플랫타입 전자레인지,9,119000,18118000,153,Monday,No,No,0,2,0,14.4,22.5,18.1,0.4,15,105.2,19:20:00,116,60,0,0,0
21507,2019-07-24 9:30,30,프라다 테스토 탑핸들 토트 숄더백,8,1180000,14820000,13,Wednesday,No,No,12,2,2,24.8,29.7,26.8,0.5,19,104.56,9:30:00,57,29,0,0,2
16703,2019-06-08 13:20,20,에펨 남성 소가죽 체인지 샌들,8,39800,19227000,484,Saturday,Yes,No,0,2,2,15.5,25.5,20.1,0.1,22,104.88,13:20:00,80,68,0,1,5
32064,2019-11-05 22:40,20,무이자 LG전자 매직스페이스 냉장고,1,1499000,11966000,8,Tuesday,No,No,0,2,0,6.0,19.1,11.7,0.0,31,104.87,22:40:00,136,9,0,0,1
18210,2019-06-23 14:00,20,뱅뱅 남성 썸머 데님팬츠 3종(2019 S/S),6,79900,16911000,212,Sunday,Yes,No,0,0,2,16.4,27.3,21.6,0.3,17,104.88,14:00:00,84,42,0,1,6
4788,2019-02-19 20:40,20,보루네오 루나 유로탑 멀티수납형 LED 침대 SS 슈퍼싱글,0,548000,32409000,60,Tuesday,No,No,0,2,2,0.6,5.7,2.9,16.3,24,104.69,20:40:00,124,5,0,0,1
13908,2019-05-13 14:30,30,아키 라이크라 노와이어 브라 컬렉션(뉴아키 23차),5,99900,92354000,925,Monday,No,No,0,2,2,11.4,24.5,17.9,0.0,38,105.05,14:30:00,87,65,0,0,0
18041,2019-06-21 17:00,20,일시불 쿠쿠 블랙스톤 전기밥솥 10인용,9,268000,2035000,8,Friday,No,No,0,2,1,18.5,28.7,22.8,1.9,25,104.88,17:00:00,102,59,0,0,4
18587,2019-06-27 18:00,20,청정수산 완도활전복 35미,3,59900,25833000,432,Thursday,No,No,0,2,2,20.6,28.8,23.8,12.0,20,104.88,18:00:00,108,0,0,0,3
21236,2019-07-21 23:40,20,무이자 LG 울트라HD TV 65UK6800HNC,1,1920000,4396000,3,Sunday,Yes,No,12,2,0,22.6,27.8,24.8,20.0,19,104.56,23:40:00,142,1,0,1,6
4816,2019-02-19 23:20,20,도스문도스 카이만 엠보 소가죽 핸드백 1종,8,99000,46919000,474,Tuesday,No,No,0,2,2,0.6,5.7,2.9,16.3,24,104.69,23:20:00,140,73,0,0,1
9590,2019-04-06 14:20,20,무이자 LG 휘센 에어컨 위너 FQ17V8WWJ1(스탠드),1,1989000,0,0,Saturday,Yes,No,0,2,0,3.4,19.0,11.6,0.6,56,104.87,14:20:00,86,7,0,1,5
18899,2019-06-30 19:50,30,무이자 매직쉐프 10리터 듀얼쿡 에어프라이어,9,164000,47381000,289,Sunday,Yes,No,11,2,0,20.1,28.5,23.8,0.0,23,104.88,19:50:00,119,21,0,1,6
31732,2019-11-02 14:20,30,코치 시그니처 켈시 사첼백,8,239000,2732000,12,Saturday,Yes,No,0,2,2,7.7,19.9,13.5,0.0,55,104.87,14:20:00,86,56,0,1,5
23579,2019-08-13 7:40,20,크리스티나앤코 썸머플리츠세트(8월),6,29000,34797000,1200,Tuesday,No,No,0,2,2,24.3,33.7,28.5,1.2,21,104.81,7:40:00,46,0,0,0,1
4400,2019-02-16 0:40,20,무이자[가이거] 콘체르토 다이아몬드 워치(주얼리3종),8,139000,9337000,68,Saturday,Yes,No,0,2,0,-3.5,3.3,-0.3,0.1,44,104.69,0:40:00,4,107,0,1,5
10968,2019-04-18 8:00,20,NNF SS트레이닝 세트,6,39000,21775000,559,Thursday,No,No,0,2,2,8.4,21.6,15.3,0.0,30,104.87,8:00:00,48,0,0,0,3
18600,2019-06-27 20:00,20,무이자 종근당건강 락토핏 생유산균골드 단하루,2,79000,6886000,88,Thursday,No,No,0,2,0,20.6,28.8,23.8,12.0,20,104.88,20:00:00,120,32,0,0,3
14401,2019-05-17 15:50,10,에버라스트 드로즈 10+4종,5,39900,32761000,822,Friday,No,No,0,2,2,15.0,27.3,21.3,1.7,37,105.05,15:50:00,95,6,0,0,4
17349,2019-06-14 21:20,20,(일)[보루네오] 피올레 천연소가죽 소파 6인용,0,1199000,0,0,Friday,No,No,0,2,2,16.8,24.7,20.2,2.3,25,104.88,21:20:00,128,8,0,0,4
5463,2019-02-26 20:00,20,국내산 손질갑오징어 8팩,3,49900,32040000,643,Tuesday,No,No,0,2,2,-1.5,12.8,5.4,0.0,44,104.69,20:00:00,120,98,0,0,1
36296,2019-12-19 12:00,20,AHC 스킨케어링 톤커버크림,7,59900,41772000,698,Thursday,No,No,0,2,2,-1.3,6.8,2.2,0.0,22,105.12,12:00:00,72,0,0,0,3
32732,2019-11-12 23:20,20,레스토닉 블루투스 LED 서랍 침대 킹,0,749000,21761000,30,Tuesday,No,No,0,2,2,4.8,16.6,9.7,0.0,29,104.87,23:20:00,140,3,0,0,1
30312,2019-10-18 11:20,20,AAB의 소곱창전골 800g x 8팩,3,55900,44387000,795,Friday,No,No,0,2,2,11.0,19.5,15.3,3.8,19,105.46,11:20:00,68,26,0,0,4
33025,2019-11-16 2:00,20,몬테밀라노 웜기모 치마레깅스 4종,5,79900,24508000,307,Saturday,Yes,No,0,2,2,5.1,17.1,10.3,0.2,32,104.87,2:00:00,12,70,0,1,5
6519,2019-03-08 18:00,20,옛날 그 쥐포 110장 (11팩),3,32900,32802000,998,Friday,No,No,0,2,2,-1.3,14.5,6.1,0.0,36,104.49,18:00:00,108,61,0,0,4
1305,2019-01-15 10:40,20,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),9,168000,12570000,75,Tuesday,No,No,0,2,0,-3.9,6.1,0.9,0.1,88,104.24,10:40:00,64,4,0,0,1
36477,2019-12-21 13:50,30,버버리 밀덴홀 체인 크로스백 미듐,8,1480000,25652000,18,Saturday,Yes,No,12,2,2,-4.1,4.7,0.2,0.1,32,105.12,13:50:00,83,28,0,1,5
25480,2019-09-01 19:40,20,리복 스피드윅 런닝 6종,5,89000,9284000,105,Sunday,Yes,No,0,2,2,18.0,26.8,22.1,0.8,19,105.2,19:40:00,118,53,0,1,6
6337,2019-03-06 21:40,20,일시불 LG전자 매직스페이스 냉장고,1,1409000,62576000,45,Wednesday,No,No,0,2,1,4.7,14.3,8.8,1.0,95,104.49,21:40:00,130,9,0,0,2
26541,2019-09-12 10:40,20,(무)삼익가구 어블러 LED 멀티 수납형 침대 퀸,0,599000,8789000,15,Thursday,No,Yes,0,2,2,18.6,23.5,20.8,5.6,12,105.2,10:40:00,64,3,1,0,3
3268,2019-02-05 1:00,20,아리스토우 남성기모티셔츠5종,6,39900,8912000,224,Tuesday,No,Yes,0,0,2,-4.1,11.0,2.9,0.0,83,104.69,1:00:00,6,46,1,0,1
16255,2019-06-04 11:00,20,NNF 와이드데님팬츠 2종,6,39900,26106000,655,Tuesday,No,No,0,2,2,16.1,30.3,23.1,0.0,35,104.88,11:00:00,66,42,0,0,1
5277,2019-02-24 19:00,20,일시불 삼성 노트북 9 메탈 기본형 NT900X5J-K14,1,999000,2853000,3,Sunday,Yes,No,0,2,1,-1.5,14.3,6.1,0.0,44,104.69,19:00:00,114,13,0,1,6
12316,2019-04-30 18:20,20,유귀열의 귀한 갓김치3kg+총각김치3kg (총6kg),3,38900,50500000,1299,Tuesday,No,No,0,2,2,9.8,20.5,14.6,0.1,24,104.87,18:20:00,110,0,0,0,1
37007,2019-12-27 14:40,20,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,6,299000,33569000,113,Friday,No,No,0,2,2,-3.2,5.1,0.6,0.0,24,105.12,14:40:00,88,67,0,0,4
36993,2019-12-27 11:00,20,일시불 클란츠 멀티쿡,9,60800,29231000,481,Friday,No,No,0,2,1,-3.2,5.1,0.6,0.0,24,105.12,11:00:00,66,0,0,0,4
13590,2019-05-11 1:30,30,오모떼 쉐이핑차 브라팬티 10종,5,109000,22171000,204,Saturday,Yes,No,0,2,2,10.2,27.3,18.5,0.0,40,105.05,1:30:00,9,65,0,1,5
3623,2019-02-08 13:00,20,무이자 쿠쿠전기밥솥 6인용,9,208000,1548000,8,Friday,No,No,0,2,0,-5.9,3.2,-2.0,0.0,24,104.69,13:00:00,78,59,0,0,4
3311,2019-02-05 14:00,20,컬럼비아 옴니위크 머슬 언더셔츠 6종,5,79000,1647000,21,Tuesday,No,Yes,0,2,2,-4.1,11.0,2.9,0.0,83,104.69,14:00:00,84,54,1,0,1
37121,2019-12-28 22:00,20,(퀸+퀸)일월 품안애 온수매트,4,248000,13413000,55,Saturday,Yes,No,0,2,2,-4.9,7.5,0.5,0.0,32,105.12,22:00:00,132,15,0,1,5
12234,2019-04-29 20:20,20,NNF SS트레이닝 세트,6,39000,41931000,1076,Monday,No,No,0,2,2,8.0,14.3,11.3,19.1,21,104.87,20:20:00,122,0,0,0,0
23933,2019-08-16 11:20,20,무이자 쿠쿠전기밥솥 10인용(CRP-QS107FG/FS),9,218000,19324000,89,Friday,No,No,0,2,0,23.3,30.7,26.4,1.9,21,104.81,11:20:00,68,59,0,0,4
22781,2019-08-05 21:00,20,보루네오 루나시즌2 유로탑 멀티수납형 LED침대 퀸,0,598000,5216000,9,Monday,No,No,0,2,2,24.2,34.6,28.8,0.7,32,104.81,21:00:00,126,18,0,0,0
25752,2019-09-04 11:20,20,하늘내린 용대리황태10마리,3,32900,57634000,1752,Wednesday,No,No,0,2,2,21.4,26.2,23.4,11.9,13,105.2,11:20:00,68,0,0,0,2
33670,2019-11-22 19:40,20,푸마 INNO 심리스 롱드로즈 9종 (1차),5,89000,12392000,140,Friday,No,No,0,2,2,2.8,17.3,9.3,0.0,31,104.87,19:40:00,118,51,0,0,4
2909,2019-02-01 12:00,20,무이자  린나이 자동불꽃조절 가스레인지 2구,9,219000,2161000,10,Friday,No,No,0,2,0,-6.7,4.1,-1.3,0.0,32,104.69,12:00:00,72,12,0,0,4
32841,2019-11-14 6:40,20,스튜디오럭스 후드롱구스다운코트,6,59000,27552000,467,Thursday,No,No,0,2,2,-0.7,8.6,3.7,0.0,24,104.87,6:40:00,40,67,0,0,3
3018,2019-02-02 16:40,20,국내산 손질갑오징어 8팩,3,49900,62350000,1250,Saturday,Yes,No,0,2,2,-4.8,8.5,2.1,0.0,46,104.69,16:40:00,100,98,0,1,5
22378,2019-08-02 1:00,10,스포메틱스 트리플 샤이닝 쿠션시즌1,7,39900,1639000,42,Friday,No,No,0,2,2,24.3,34.2,28.8,0.1,17,104.81,1:00:00,6,0,0,0,4
28711,2019-10-02 21:00,20,무이자 쿠쿠전기밥솥 10인용(CRP-QS107FG/FS),9,218000,7564000,35,Wednesday,No,No,0,2,0,19.8,22.9,21.1,106.3,22,105.46,21:00:00,126,59,0,0,2
35942,2019-12-15 22:00,20,무이자 쿠쿠전기밥솥 6인용(QS),9,208000,14125000,68,Sunday,Yes,No,0,2,0,-1.5,12.4,4.7,0.0,28,105.12,22:00:00,132,59,0,1,6
33514,2019-11-21 10:00,20,레노마 여성 양가죽/양모 장갑 2종,8,69000,17750000,258,Thursday,No,No,0,2,2,-2.6,12.2,5.0,0.0,29,104.87,10:00:00,60,0,0,0,3
30736,2019-10-22 18:00,20,국내산 손질 통오징어 21미,3,43900,35786000,816,Tuesday,No,No,0,2,2,10.3,22.9,15.9,0.0,24,105.46,18:00:00,108,55,0,0,1
29312,2019-10-08 9:40,20,쿠미투니카 롱 하이웨스트 팬티세트,5,59900,70520000,1178,Tuesday,No,No,0,2,2,10.3,22.0,15.9,0.1,24,105.46,9:40:00,58,0,0,0,1
18814,2019-06-29 22:40,20,일시불 LG 울트라HD TV 70UK7400KNA,1,2400000,0,0,Saturday,Yes,No,12,2,1,19.9,24.1,21.6,31.7,20,104.88,22:40:00,136,1,0,1,5
32351,2019-11-08 18:40,20,(쿠)무이자 쿠첸 압력밥솥 6인용 (A1),9,158000,3485000,23,Friday,No,No,0,2,0,2.3,15.3,7.8,0.0,33,104.87,18:40:00,112,4,0,0,4
28378,2019-09-29 15:00,20,ALL New 파워스윙 물걸레 진공청소기,4,268000,15260000,57,Sunday,Yes,No,0,2,2,18.0,28.5,22.2,0.1,30,105.2,15:00:00,90,97,0,1,6
16811,2019-06-09 17:40,20,AAB의 소곱창전골 800g x 8팩,3,55900,75950000,1359,Sunday,Yes,No,0,2,2,16.1,25.0,19.7,1.5,22,104.88,17:40:00,106,26,0,1,6
21279,2019-07-22 13:30,30,루이띠에 순금 크로스 트리플 목걸이 18g+골드바 1g,8,2030000,3252000,2,Monday,No,No,12,2,2,23.2,31.6,27.0,0.3,27,104.56,13:30:00,81,49,0,0,0
23160,2019-08-09 15:20,20,에코라믹 통주물 스톤 냄비세트,9,60900,34721000,571,Friday,No,No,0,2,2,24.2,33.6,28.3,0.1,21,104.81,15:20:00,92,24,0,0,4
18140,2019-06-22 20:40,20,일시불 에지리 스텐큐브 프라이팬,9,171000,13997000,82,Saturday,Yes,No,11,2,1,17.4,27.1,21.7,1.0,19,104.88,20:40:00,124,41,0,1,5
13640,2019-05-11 14:40,20,일시불 대우전자 벽걸이 에어컨TDOZ-S10JK,1,809000,11625000,15,Saturday,Yes,No,0,2,1,10.2,27.3,18.5,0.0,40,105.05,14:40:00,88,7,0,1,5
14652,2019-05-20 0:00,20,릴리젼 PK 여성 티셔츠세트,6,59900,8943000,150,Monday,No,No,0,1,2,11.9,21.0,17.0,1.7,30,105.05,0:00:00,0,46,0,0,0
10733,2019-04-16 6:40,20,스피드랙 베이직 4단 1+1,4,118000,23934000,203,Tuesday,No,No,0,2,2,4.3,23.3,14.2,0.0,38,104.87,6:40:00,40,0,0,0,1
26608,2019-09-13 0:40,20,블루콤 데시벨 블루투스이어폰 BCS-A1,4,49900,5020000,101,Friday,No,Yes,0,2,2,17.1,27.4,21.7,0.0,14,105.2,0:40:00,4,0,1,0,4
35607,2019-12-12 15:40,20,무이자쿠첸압력밥솥 10인용,9,178000,14997000,85,Thursday,No,No,0,2,0,-2.4,6.1,1.7,0.0,19,105.12,15:40:00,94,4,0,0,3
32704,2019-11-12 21:00,20,[K-SWISS] 19 F/W 남성 패딩 트랙수트 2종,6,59900,96824000,1617,Tuesday,No,No,0,0,2,4.8,16.6,9.7,0.0,29,104.87,21:00:00,126,44,0,0,1
16179,2019-06-03 13:00,30,오모떼 프런트후크 프레쉬 데오브라 시즌4,5,139000,47029000,339,Monday,No,No,0,2,2,14.0,29.7,22.0,0.0,35,104.88,13:00:00,78,65,0,0,0
7677,2019-03-19 21:40,20,(무) 삼익가구 LED 제니비 서랍형 침대 SS,0,549000,15496000,29,Tuesday,No,No,0,2,2,2.2,19.0,10.7,0.0,40,104.49,21:40:00,130,3,0,0,1
15244,2019-05-25 9:40,20,무이자 메디컬드림 롤링마사지기 (KMD-970),4,108000,22741000,211,Saturday,Yes,No,0,2,0,16.9,30.1,23.3,0.0,48,105.05,9:40:00,58,0,0,1,5
26666,2019-09-13 16:20,20,칼리베이직 2019 패브릭 백 4종 (시즌 3),8,59000,57929000,982,Friday,No,Yes,0,2,2,17.1,27.4,21.7,0.0,14,105.2,16:20:00,98,0,1,0,4
19785,2019-07-09 10:30,30,프라다 자카드 카메라 크로스백,8,790000,21463000,28,Tuesday,No,No,12,2,2,18.4,27.0,22.6,0.2,14,104.56,10:30:00,63,28,0,0,1
